utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	74.4297	-53.9784	1600	1600	2000	2000
2	63.5968	25.8976	1600	1600	2000	2000
3	61.1851	15.0000	1600	1600	2000	2000
4	59.7261	-157.8400	1600	1600	2000	2000
5	53.4400	-77.0732	1600	1600	2000	2000
6	57.8472	-4.7431	1600	1600	2000	2000
7	53.5388	-2.8061	1600	1600	2000	2000
8	51.0000	10.0000	1600	1600	2000	2000
9	53.8613	16.4011	1600	1600	2000	2000
10	56.1154	26.1975	1600	1600	2000	2000
11	48.0997	-102.9110	1600	1600	2000	2000
12	39.8472	-76.7431	1600	1600	2000	2000
13	42.4674	-0.9729	1600	1600	2000	2000
14	49.0000	3.0000	1600	1600	2000	2000
15	45.3454	7.9411	1600	1600	2000	2000
16	47.8080	16.0781	1600	1600	2000	2000
17	48.1819	16.0884	1600	1600	2000	2000
18	40.7286	22.1721	1600	1600	2000	2000
19	38.5704	-120.5030	1600	1600	2000	2000
20	31.3243	-5.3633	1600	1600	2000	2000
21	31.9356	-3.4815	1600	1600	2000	2000
22	30.8753	6.2426	1600	1600	2000	2000
23	31.5992	10.4087	1600	1600	2000	2000
24	38.0152	21.5066	1600	1600	2000	2000
25	35.3420	36.5522	1600	1600	2000	2000
26	37.1849	39.3462	1600	1600	2000	2000
27	37.7992	128.8066	1600	1600	2000	2000
28	39.5688	141.0298	1600	1600	2000	2000
29	34.0634	-103.9006	1600	1600	2000	2000
30	29.0166	-81.1204	1600	1600	2000	2000
31	25.1336	30.2648	1600	1600	2000	2000
32	21.3354	36.7013	1600	1600	2000	2000
33	21.3069	43.0000	1600	1600	2000	2000
34	26.8457	68.6282	1600	1600	2000	2000
35	19.2466	-155.7655	1600	1600	2000	2000
36	14.4023	-11.1292	1600	1600	2000	2000
37	24.0000	52.8682	1600	1600	2000	2000
38	17.6638	54.8022	1600	1600	2000	2000
39	18.9818	76.6248	1600	1600	2000	2000
40	16.0081	120.1164	1600	1600	2000	2000
41	8.6309	-81.3758	1600	1600	2000	2000
42	7.3884	-72.4794	1600	1600	2000	2000
43	5.4394	-59.1066	1600	1600	2000	2000
44	8.6698	5.1951	1600	1600	2000	2000
45	7.5063	11.7203	1600	1600	2000	2000
46	1.1476	101.7197	1600	1600	2000	2000
47	-7.2381	107.9297	1600	1600	2000	2000
48	-0.3432	113.6971	1600	1600	2000	2000
49	-17.9115	-70.1833	1600	1600	2000	2000
50	-19.0985	-53.7828	1600	1600	2000	2000
51	-17.5742	35.8231	1600	1600	2000	2000
52	-20.1274	-46.5875	1600	1600	2000	2000
53	-24.3958	124.5618	1600	1600	2000	2000
54	-31.8847	18.3998	1600	1600	2000	2000
55	-34.7828	141.4049	1600	1600	2000	2000
56	-37.7352	178.0355	1600	1600	2000	2000
57	-45.5791	-71.1708	1600	1600	2000	2000
58	-41.0786	-69.3251	1600	1600	2000	2000
