utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	81.6684	-142.0062	80	80	100	100
2	83.7436	-148.9790	80	80	100	100
3	83.1425	-84.1764	80	80	100	100
4	85.7300	-87.7059	80	80	100	100
5	80.8479	-28.9809	80	80	100	100
6	80.9322	-29.6150	80	80	100	100
7	82.8269	-11.2148	80	80	100	100
8	81.7193	-13.8632	80	80	100	100
9	81.8477	71.9106	80	80	100	100
10	86.5255	79.7141	80	80	100	100
11	83.5244	134.1916	80	80	100	100
12	87.6251	135.2838	80	80	100	100
13	84.1030	167.7164	80	80	100	100
14	81.8942	160.5819	80	80	100	100
15	76.3626	-103.6236	80	80	100	100
16	71.2318	-80.8525	80	80	100	100
17	71.0838	-60.1013	80	80	100	100
18	71.7875	-51.0020	80	80	100	100
19	71.0203	-18.7854	80	80	100	100
20	76.9309	10.5162	80	80	100	100
21	74.8144	12.4412	80	80	100	100
22	71.0521	12.5159	80	80	100	100
23	75.8684	14.8523	80	80	100	100
24	73.3845	12.7470	80	80	100	100
25	75.8931	23.8415	80	80	100	100
26	74.5822	27.7344	80	80	100	100
27	60.2556	-169.9981	80	80	100	100
28	61.2897	-157.4832	80	80	100	100
29	68.6711	-147.2926	80	80	100	100
30	66.4051	-138.6344	80	80	100	100
31	68.9185	-115.6456	80	80	100	100
32	66.0435	-99.9456	80	80	100	100
33	69.5903	-76.2523	80	80	100	100
34	63.7998	-28.9824	80	80	100	100
35	63.8410	-14.4458	80	80	100	100
36	63.2084	1.9206	80	80	100	100
37	68.0226	2.8862	80	80	100	100
38	66.1617	15.0712	80	80	100	100
39	65.2680	11.4550	80	80	100	100
40	66.6340	13.3651	80	80	100	100
41	63.9347	11.7278	80	80	100	100
42	61.1758	16.1842	80	80	100	100
43	64.9902	25.1101	80	80	100	100
44	63.7032	28.3502	80	80	100	100
45	63.4291	20.3756	80	80	100	100
46	68.3228	23.3844	80	80	100	100
47	64.7984	26.2075	80	80	100	100
48	54.1771	-161.2813	80	80	100	100
49	56.1936	-150.7463	80	80	100	100
50	52.2423	-133.2925	80	80	100	100
51	56.0140	-102.1781	80	80	100	100
52	56.3945	-97.1596	80	80	100	100
53	58.8535	-85.7852	80	80	100	100
54	57.1523	-75.8165	80	80	100	100
55	53.7769	-75.6023	80	80	100	100
56	57.5968	-50.4885	80	80	100	100
57	53.5737	-32.6505	80	80	100	100
58	54.0836	-1.8794	80	80	100	100
59	58.9825	-6.5226	80	80	100	100
60	54.2128	-4.3541	80	80	100	100
61	59.1260	-7.7331	80	80	100	100
62	56.9706	6.2194	80	80	100	100
63	59.2798	6.7330	80	80	100	100
64	50.1042	2.1871	80	80	100	100
65	55.9731	3.6554	80	80	100	100
66	51.4959	13.0364	80	80	100	100
67	55.3477	10.4214	80	80	100	100
68	57.8241	19.4366	80	80	100	100
69	59.8404	16.4491	80	80	100	100
70	58.0767	24.9289	80	80	100	100
71	55.5413	171.0588	80	80	100	100
72	55.2923	170.4157	80	80	100	100
73	44.5559	-124.9025	80	80	100	100
