utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	68.3783	-51.5008	1600	1600	2000	2000
2	64.9523	-20.6612	1600	1600	2000	2000
3	65.0436	21.2321	1600	1600	2000	2000
4	54.1526	-0.8432	1600	1600	2000	2000
5	56.6846	-4.1960	1600	1600	2000	2000
6	52.7485	9.8537	1600	1600	2000	2000
7	58.6804	7.4663	1600	1600	2000	2000
8	50.1266	19.9457	1600	1600	2000	2000
9	52.6629	13.5332	1600	1600	2000	2000
10	54.4872	17.6770	1600	1600	2000	2000
11	57.3554	12.7761	1600	1600	2000	2000
12	56.3558	14.1482	1600	1600	2000	2000
13	58.1617	28.3949	1600	1600	2000	2000
14	53.4481	21.4224	1600	1600	2000	2000
15	58.7065	23.1423	1600	1600	2000	2000
16	51.6759	27.1857	1600	1600	2000	2000
17	53.9745	37.0198	1600	1600	2000	2000
18	51.2815	70.8699	1600	1600	2000	2000
19	45.7349	-74.0701	1600	1600	2000	2000
20	41.7428	-8.0285	1600	1600	2000	2000
21	48.1039	3.8761	1600	1600	2000	2000
22	49.7844	5.9313	1600	1600	2000	2000
23	44.4057	8.1437	1600	1600	2000	2000
24	44.6246	17.1025	1600	1600	2000	2000
25	42.9672	11.9888	1600	1600	2000	2000
26	45.8435	12.3081	1600	1600	2000	2000
27	45.9690	13.9694	1600	1600	2000	2000
28	45.6160	10.6049	1600	1600	2000	2000
29	44.3142	20.8925	1600	1600	2000	2000
30	49.5175	27.9529	1600	1600	2000	2000
31	45.9927	28.6009	1600	1600	2000	2000
32	45.0416	43.6592	1600	1600	2000	2000
33	40.2358	48.7605	1600	1600	2000	2000
34	42.4890	64.7650	1600	1600	2000	2000
35	45.3915	76.1200	1600	1600	2000	2000
36	45.7285	109.1494	1600	1600	2000	2000
37	41.2788	140.8601	1600	1600	2000	2000
38	39.0494	-123.4644	1600	1600	2000	2000
39	36.0620	-79.0754	1600	1600	2000	2000
40	36.5214	-5.1753	1600	1600	2000	2000
41	36.9034	-3.6781	1600	1600	2000	2000
42	39.8330	9.0740	1600	1600	2000	2000
43	30.4528	18.4803	1600	1600	2000	2000
44	31.8744	24.3804	1600	1600	2000	2000
45	38.0917	30.4484	1600	1600	2000	2000
46	34.5749	36.3890	1600	1600	2000	2000
47	39.2499	31.8147	1600	1600	2000	2000
48	31.6037	36.8537	1600	1600	2000	2000
49	31.1008	37.0705	1600	1600	2000	2000
50	30.6421	32.3642	1600	1600	2000	2000
51	39.7490	48.2975	1600	1600	2000	2000
52	38.6019	57.1555	1600	1600	2000	2000
53	38.7090	68.6523	1600	1600	2000	2000
54	36.0773	72.2600	1600	1600	2000	2000
55	30.6462	121.5094	1600	1600	2000	2000
56	37.2481	139.4379	1600	1600	2000	2000
57	20.3097	-13.5499	1600	1600	2000	2000
58	22.3962	27.6787	1600	1600	2000	2000
59	29.1533	37.9800	1600	1600	2000	2000
60	25.7175	43.0562	1600	1600	2000	2000
61	20.7006	45.3431	1600	1600	2000	2000
62	27.0219	54.0963	1600	1600	2000	2000
63	29.0991	57.2448	1600	1600	2000	2000
64	20.1167	50.5241	1600	1600	2000	2000
65	22.3651	56.9446	1600	1600	2000	2000
66	27.0866	72.9295	1600	1600	2000	2000
67	24.8107	82.3642	1600	1600	2000	2000
68	22.7120	99.7904	1600	1600	2000	2000
69	25.1245	107.2718	1600	1600	2000	2000
70	29.0317	121.5321	1600	1600	2000	2000
71	18.4149	-101.6655	1600	1600	2000	2000
72	18.6763	-99.4821	1600	1600	2000	2000
73	19.1685	-70.0950	1600	1600	2000	2000
74	10.3891	-62.9894	1600	1600	2000	2000
75	17.6396	9.7394	1600	1600	2000	2000
76	18.5735	54.6655	1600	1600	2000	2000
77	17.1519	95.6163	1600	1600	2000	2000
78	15.4090	102.9224	1600	1600	2000	2000
79	12.7398	121.1196	1600	1600	2000	2000
80	9.0703	-82.3547	1600	1600	2000	2000
81	0.8297	-78.4487	1600	1600	2000	2000
82	0.7631	-77.0956	1600	1600	2000	2000
83	7.6355	-58.9828	1600	1600	2000	2000
84	6.5630	6.1552	1600	1600	2000	2000
85	3.3414	30.0869	1600	1600	2000	2000
86	9.6521	40.8624	1600	1600	2000	2000
87	9.3176	78.2742	1600	1600	2000	2000
88	9.3180	80.2184	1600	1600	2000	2000
89	4.4867	103.2260	1600	1600	2000	2000
90	9.9804	105.6627	1600	1600	2000	2000
91	-5.0540	-74.0945	1600	1600	2000	2000
92	-4.0781	18.1546	1600	1600	2000	2000
93	-2.2392	18.9532	1600	1600	2000	2000
94	-8.2025	16.4889	1600	1600	2000	2000
95	-4.0806	37.7606	1600	1600	2000	2000
96	-3.6392	32.7915	1600	1600	2000	2000
97	-7.6880	35.3221	1600	1600	2000	2000
98	-1.1753	104.1642	1600	1600	2000	2000
99	-9.0089	124.7854	1600	1600	2000	2000
100	-7.9101	141.4474	1600	1600	2000	2000
101	-14.2374	-74.1760	1600	1600	2000	2000
102	-16.4432	-40.1281	1600	1600	2000	2000
103	-19.8931	28.6954	1600	1600	2000	2000
104	-19.1674	44.5812	1600	1600	2000	2000
105	-28.8909	-51.1028	1600	1600	2000	2000
106	-22.0730	17.4999	1600	1600	2000	2000
107	-23.2740	28.4933	1600	1600	2000	2000
108	-27.0451	30.6054	1600	1600	2000	2000
109	-31.8286	-71.3700	1600	1600	2000	2000
110	-34.4606	-56.4232	1600	1600	2000	2000
111	-33.1976	-59.8701	1600	1600	2000	2000
112	-33.9320	19.0734	1600	1600	2000	2000
113	-34.5494	140.6157	1600	1600	2000	2000
114	-43.2999	170.5995	1600	1600	2000	2000
