utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	72.3515	-100.3217	50	50	100	100
2	70.6210	-81.8368	50	50	100	100
3	79.5757	17.0453	50	50	100	100
4	78.8512	14.3222	50	50	100	100
5	79.3549	17.2019	50	50	100	100
6	79.7490	12.9318	50	50	100	100
7	79.3139	23.9828	50	50	100	100
8	70.2175	23.9151	50	50	100	100
9	63.1181	-162.7978	50	50	100	100
10	67.4056	-163.1629	50	50	100	100
11	67.3715	-155.5637	50	50	100	100
12	64.1747	-152.4631	50	50	100	100
13	65.2123	-141.9255	50	50	100	100
14	69.1269	-134.5022	50	50	100	100
15	63.2470	-110.2984	50	50	100	100
16	67.0262	-94.1328	50	50	100	100
17	60.2851	-71.3356	50	50	100	100
18	66.1076	-21.9222	50	50	100	100
19	65.8249	-15.6766	50	50	100	100
20	61.6177	5.8481	50	50	100	100
21	61.4064	5.1736	50	50	100	100
22	67.3600	17.3331	50	50	100	100
23	66.5027	17.4439	50	50	100	100
24	60.5747	15.4046	50	50	100	100
25	65.2150	12.5996	50	50	100	100
26	62.5816	12.8806	50	50	100	100
27	60.2302	13.1923	50	50	100	100
28	64.8262	14.1728	50	50	100	100
29	66.5472	16.5455	50	50	100	100
30	61.6835	12.3786	50	50	100	100
31	64.0620	27.7150	50	50	100	100
32	68.5354	24.1377	50	50	100	100
33	64.5996	25.3017	50	50	100	100
34	67.1973	25.3372	50	50	100	100
35	66.8632	26.6239	50	50	100	100
36	66.5997	28.2603	50	50	100	100
37	68.8125	29.8117	50	50	100	100
38	61.7972	22.4550	50	50	100	100
39	62.5172	23.9511	50	50	100	100
40	55.9798	-160.2977	50	50	100	100
41	57.1583	-157.6422	50	50	100	100
42	57.5647	-154.3951	50	50	100	100
43	58.0919	-157.2250	50	50	100	100
44	57.6398	-131.4418	50	50	100	100
45	58.9336	-105.9636	50	50	100	100
46	52.9881	-88.4686	50	50	100	100
47	51.6709	-85.4931	50	50	100	100
48	51.0807	-74.4004	50	50	100	100
49	57.5811	-75.3882	50	50	100	100
50	56.7209	-76.0564	50	50	100	100
51	54.5212	-58.8098	50	50	100	100
52	55.7515	-3.0599	50	50	100	100
53	52.9835	-5.9947	50	50	100	100
54	54.3111	-7.4061	50	50	100	100
55	55.0482	-4.4114	50	50	100	100
56	53.1564	-0.7306	50	50	100	100
57	53.3298	-7.7456	50	50	100	100
58	54.1957	-1.4825	50	50	100	100
59	57.8008	-4.9103	50	50	100	100
60	57.6847	-4.8984	50	50	100	100
61	51.0492	-1.6011	50	50	100	100
62	53.2142	9.1129	50	50	100	100
63	51.1318	3.7248	50	50	100	100
64	50.5533	1.9179	50	50	100	100
65	53.1011	8.9048	50	50	100	100
66	59.4117	9.7763	50	50	100	100
67	50.4379	3.4334	50	50	100	100
68	59.2314	7.3649	50	50	100	100
69	56.5054	9.3070	50	50	100	100
70	58.3572	6.7631	50	50	100	100
71	52.3537	7.8644	50	50	100	100
72	52.1185	9.1058	50	50	100	100
73	51.5634	8.7992	50	50	100	100
74	56.2006	9.9648	50	50	100	100
75	52.5545	9.0645	50	50	100	100
76	52.4689	6.8492	50	50	100	100
77	50.1211	16.9662	50	50	100	100
78	52.2629	19.9195	50	50	100	100
79	50.5623	12.2606	50	50	100	100
80	57.4537	15.0206	50	50	100	100
81	53.1768	11.2702	50	50	100	100
82	50.8287	17.1659	50	50	100	100
83	58.1109	12.6277	50	50	100	100
84	57.5937	15.8268	50	50	100	100
85	57.1342	17.0309	50	50	100	100
86	53.2588	11.9332	50	50	100	100
87	58.1137	26.3952	50	50	100	100
88	53.1930	24.6437	50	50	100	100
89	50.3430	21.6273	50	50	100	100
90	57.0513	21.9083	50	50	100	100
91	51.2806	29.7049	50	50	100	100
92	50.9334	27.2534	50	50	100	100
93	53.1354	29.4601	50	50	100	100
94	51.3388	21.8382	50	50	100	100
95	59.2709	25.6320	50	50	100	100
96	55.5522	26.7531	50	50	100	100
97	50.8303	26.8523	50	50	100	100
98	59.1952	24.1139	50	50	100	100
99	41.9179	-124.2252	50	50	100	100
100	43.5493	-123.2957	50	50	100	100
101	48.3435	-121.9186	50	50	100	100
102	46.1789	-120.9071	50	50	100	100
103	40.7092	-121.1001	50	50	100	100
104	40.8500	-113.5189	50	50	100	100
105	43.2634	-112.1240	50	50	100	100
106	47.0489	-119.4076	50	50	100	100
107	43.0606	-113.1572	50	50	100	100
108	42.0721	-108.2539	50	50	100	100
109	49.8314	-96.7463	50	50	100	100
110	45.3224	-84.7567	50	50	100	100
111	45.9246	-86.5720	50	50	100	100
112	46.2176	-81.7667	50	50	100	100
113	47.9374	-78.7195	50	50	100	100
114	46.5214	-79.1354	50	50	100	100
115	40.9864	-74.4100	50	50	100	100
116	49.4940	-75.5226	50	50	100	100
117	47.5227	-73.9893	50	50	100	100
118	42.9539	-78.6421	50	50	100	100
119	46.8806	-71.3324	50	50	100	100
120	42.6502	-73.8711	50	50	100	100
121	44.4701	-65.7358	50	50	100	100
122	43.9323	-65.6983	50	50	100	100
123	44.0695	-64.8998	50	50	100	100
124	49.1327	-54.1007	50	50	100	100
125	43.6886	-0.2259	50	50	100	100
126	48.2723	-3.0201	50	50	100	100
127	41.2589	-4.0683	50	50	100	100
