utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	65.1226	19.6102	400	400	2000	2000
2	68.8658	18.4715	400	400	2000	2000
3	66.1927	23.9255	400	400	2000	2000
4	59.2993	-120.3342	400	400	2000	2000
5	52.5382	-122.3538	400	400	2000	2000
6	59.3938	-120.3725	400	400	2000	2000
7	52.8487	-116.1062	400	400	2000	2000
8	54.1220	-113.9069	400	400	2000	2000
9	51.9632	-117.6503	400	400	2000	2000
10	55.0998	-70.3931	400	400	2000	2000
11	55.8064	-79.1439	400	400	2000	2000
12	53.3954	-70.2744	400	400	2000	2000
13	50.6762	-75.0792	400	400	2000	2000
14	54.7660	-79.0971	400	400	2000	2000
15	52.9047	-0.0140	400	400	2000	2000
16	53.4400	-6.1987	400	400	2000	2000
17	52.4167	-7.8003	400	400	2000	2000
18	52.8217	-1.8254	400	400	2000	2000
19	55.0261	-6.9596	400	400	2000	2000
20	55.4336	8.7851	400	400	2000	2000
21	52.0964	9.5413	400	400	2000	2000
22	50.7366	7.6747	400	400	2000	2000
23	50.5476	11.4977	400	400	2000	2000
24	59.1501	16.4181	400	400	2000	2000
25	57.2869	13.6397	400	400	2000	2000
26	57.1142	16.2546	400	400	2000	2000
27	56.2586	25.2096	400	400	2000	2000
28	47.0270	-120.9104	400	400	2000	2000
29	43.3717	-120.5777	400	400	2000	2000
30	48.1661	-121.5081	400	400	2000	2000
31	49.4066	-125.3363	400	400	2000	2000
32	49.6404	-125.3918	400	400	2000	2000
33	49.7567	-72.1818	400	400	2000	2000
34	40.0174	-77.4823	400	400	2000	2000
35	49.2142	-72.1829	400	400	2000	2000
36	41.5369	-71.5629	400	400	2000	2000
37	44.7186	-73.2544	400	400	2000	2000
38	45.3285	-67.0599	400	400	2000	2000
39	41.0827	-8.2149	400	400	2000	2000
40	41.7276	-7.6023	400	400	2000	2000
41	42.6997	-8.0683	400	400	2000	2000
42	47.3546	8.6707	400	400	2000	2000
43	41.8599	2.1394	400	400	2000	2000
44	43.2336	2.8509	400	400	2000	2000
45	46.4019	4.9333	400	400	2000	2000
46	45.8585	5.7880	400	400	2000	2000
47	45.5299	7.5356	400	400	2000	2000
48	42.6204	18.9809	400	400	2000	2000
49	49.4450	14.7802	400	400	2000	2000
50	48.7191	14.9327	400	400	2000	2000
51	47.7690	18.3594	400	400	2000	2000
52	48.0755	16.6581	400	400	2000	2000
53	42.7404	12.5470	400	400	2000	2000
54	46.4959	29.5904	400	400	2000	2000
55	47.2395	24.5464	400	400	2000	2000
56	49.6509	26.2724	400	400	2000	2000
57	44.4285	142.6224	400	400	2000	2000
58	44.5888	143.0789	400	400	2000	2000
59	43.6507	142.0312	400	400	2000	2000
60	37.2656	-120.3283	400	400	2000	2000
61	39.6425	-122.0897	400	400	2000	2000
62	37.3708	-121.3344	400	400	2000	2000
63	39.5972	-123.2686	400	400	2000	2000
64	38.4863	-122.6398	400	400	2000	2000
65	38.7570	-120.3570	400	400	2000	2000
66	34.2060	-116.5618	400	400	2000	2000
67	34.9765	-115.8369	400	400	2000	2000
68	32.5207	-111.2543	400	400	2000	2000
69	32.5138	-111.6286	400	400	2000	2000
70	35.2549	-115.5677	400	400	2000	2000
71	30.3667	-101.3674	400	400	2000	2000
72	33.9172	-85.5336	400	400	2000	2000
73	31.6900	-88.5327	400	400	2000	2000
74	33.1258	-84.0602	400	400	2000	2000
75	36.7544	-86.3273	400	400	2000	2000
76	37.6565	-84.2095	400	400	2000	2000
77	34.3645	-78.6275	400	400	2000	2000
78	39.6428	-79.3155	400	400	2000	2000
79	39.9106	-75.6372	400	400	2000	2000
80	39.7185	-75.2724	400	400	2000	2000
81	36.3594	-79.9255	400	400	2000	2000
82	35.3681	-78.2755	400	400	2000	2000
83	38.4765	-78.4078	400	400	2000	2000
84	35.0201	-6.2477	400	400	2000	2000
85	32.4691	-2.1934	400	400	2000	2000
86	31.7691	-1.6890	400	400	2000	2000
87	31.6137	-3.9078	400	400	2000	2000
88	30.7368	-8.1821	400	400	2000	2000
89	32.4990	11.0147	400	400	2000	2000
90	30.3801	17.4833	400	400	2000	2000
91	30.5096	13.4485	400	400	2000	2000
92	32.7249	22.1278	400	400	2000	2000
93	30.0816	35.4713	400	400	2000	2000
94	39.0113	126.4972	400	400	2000	2000
95	37.1904	120.8881	400	400	2000	2000
96	36.8520	120.6743	400	400	2000	2000
97	37.2305	127.7088	400	400	2000	2000
98	35.4312	127.4233	400	400	2000	2000
99	36.4281	120.0884	400	400	2000	2000
100	36.5892	128.4664	400	400	2000	2000
101	36.6971	120.5865	400	400	2000	2000
102	39.9307	124.1319	400	400	2000	2000
103	36.3179	129.2585	400	400	2000	2000
104	32.7971	131.7095	400	400	2000	2000
105	36.9294	138.1052	400	400	2000	2000
106	36.0269	138.8622	400	400	2000	2000
107	37.6875	139.8872	400	400	2000	2000
108	33.2845	132.9979	400	400	2000	2000
109	39.6945	141.1831	400	400	2000	2000
110	38.5325	140.7988	400	400	2000	2000
111	37.8439	141.0026	400	400	2000	2000
112	26.9925	-81.5508	400	400	2000	2000
113	29.2775	-82.7589	400	400	2000	2000
114	28.3911	-82.7147	400	400	2000	2000
115	25.3058	29.6462	400	400	2000	2000
116	28.4590	33.5415	400	400	2000	2000
117	21.8752	35.5162	400	400	2000	2000
118	24.6383	33.7092	400	400	2000	2000
119	21.3673	46.0965	400	400	2000	2000
120	20.0770	43.0128	400	400	2000	2000
121	21.7369	40.1363	400	400	2000	2000
122	26.8815	58.0387	400	400	2000	2000
123	22.6163	52.5818	400	400	2000	2000
124	21.9701	56.3995	400	400	2000	2000
125	27.7827	69.2598	400	400	2000	2000
126	28.8894	70.0938	400	400	2000	2000
127	29.1288	121.5602	400	400	2000	2000
128	28.5981	120.8968	400	400	2000	2000
129	27.9262	120.4582	400	400	2000	2000
130	18.9351	75.2926	400	400	2000	2000
131	19.3632	108.8779	400	400	2000	2000
132	19.3505	102.3103	400	400	2000	2000
133	10.8890	107.4389	400	400	2000	2000
134	15.2690	120.5774	400	400	2000	2000
135	12.1129	120.0188	400	400	2000	2000
136	15.0828	121.3629	400	400	2000	2000
137	9.8666	-83.4133	400	400	2000	2000
138	9.6293	-83.7057	400	400	2000	2000
139	9.1511	-82.9026	400	400	2000	2000
140	1.9247	-71.7911	400	400	2000	2000
141	6.2283	8.3633	400	400	2000	2000
142	3.8465	97.1370	400	400	2000	2000
143	5.4787	101.4938	400	400	2000	2000
144	6.0655	100.7446	400	400	2000	2000
145	5.5604	101.1589	400	400	2000	2000
146	1.0340	109.7380	400	400	2000	2000
147	3.0886	102.6213	400	400	2000	2000
148	2.1075	112.2828	400	400	2000	2000
149	5.9556	124.8743	400	400	2000	2000
150	-2.0039	104.5690	400	400	2000	2000
151	-2.4589	105.5274	400	400	2000	2000
152	-6.9201	107.9398	400	400	2000	2000
153	-4.8739	105.6642	400	400	2000	2000
154	-0.1297	100.5474	400	400	2000	2000
155	-7.3320	109.9889	400	400	2000	2000
156	-2.9039	105.3714	400	400	2000	2000
157	-5.8679	106.9067	400	400	2000	2000
158	-6.9088	106.7547	400	400	2000	2000
159	-4.6022	104.6726	400	400	2000	2000
160	-1.2434	110.7419	400	400	2000	2000
161	-22.2955	-43.3748	400	400	2000	2000
162	-20.6443	-40.9465	400	400	2000	2000
163	-22.2755	-49.1875	400	400	2000	2000
164	-25.4409	25.8442	400	400	2000	2000
165	-27.6601	119.9102	400	400	2000	2000
166	-21.0635	117.6983	400	400	2000	2000
167	-29.7619	115.0073	400	400	2000	2000
168	-31.6822	-69.3053	400	400	2000	2000
169	-31.4504	-67.3145	400	400	2000	2000
170	-31.9294	-64.6608	400	400	2000	2000
171	-30.2417	-58.6178	400	400	2000	2000
172	-31.3476	-56.7453	400	400	2000	2000
173	-34.1736	-57.8927	400	400	2000	2000
174	-32.5531	19.9630	400	400	2000	2000
175	-34.5732	117.1755	400	400	2000	2000
176	-32.8790	118.4267	400	400	2000	2000
177	-33.7611	119.6425	400	400	2000	2000
178	-30.1041	117.1347	400	400	2000	2000
179	-33.9585	118.1301	400	400	2000	2000
180	-36.5532	147.2363	400	400	2000	2000
181	-32.8826	147.7327	400	400	2000	2000
182	-37.9609	146.7747	400	400	2000	2000
183	-36.4545	146.3906	400	400	2000	2000
184	-34.9890	149.9385	400	400	2000	2000
185	-35.9946	150.0915	400	400	2000	2000
186	-37.8620	178.3832	400	400	2000	2000
187	-42.6940	-70.0622	400	400	2000	2000
188	-49.9010	-71.3882	400	400	2000	2000
189	-48.0032	-70.2957	400	400	2000	2000
190	-42.8845	145.8011	400	400	2000	2000
191	-44.6321	168.9669	400	400	2000	2000
192	-40.6621	172.6489	400	400	2000	2000
