utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	71.9321	-107.0116	40	40	100	100
2	70.7790	-108.2726	40	40	100	100
3	70.9041	-86.0277	40	40	100	100
4	79.5824	-84.8130	40	40	100	100
5	79.2696	13.6893	40	40	100	100
6	77.7359	16.7322	40	40	100	100
7	78.8396	16.8496	40	40	100	100
8	79.1877	13.6769	40	40	100	100
9	79.7194	12.7018	40	40	100	100
10	79.4495	15.1441	40	40	100	100
11	70.6660	28.8386	40	40	100	100
12	70.0773	24.8229	40	40	100	100
13	70.7625	22.6693	40	40	100	100
14	60.7231	-161.0408	40	40	100	100
15	67.0711	-160.5737	40	40	100	100
16	63.7905	-158.7695	40	40	100	100
17	63.7270	-153.5643	40	40	100	100
18	63.7654	-159.3157	40	40	100	100
19	62.3574	-148.3938	40	40	100	100
20	65.1143	-138.3857	40	40	100	100
21	60.0593	-116.5196	40	40	100	100
22	61.5416	-95.5478	40	40	100	100
23	60.2736	-77.1205	40	40	100	100
24	69.1653	-27.7227	40	40	100	100
25	64.2294	-17.2749	40	40	100	100
26	60.3207	6.2197	40	40	100	100
27	60.1019	6.7700	40	40	100	100
28	60.9516	13.1317	40	40	100	100
29	65.9443	18.2231	40	40	100	100
30	66.8318	19.8447	40	40	100	100
31	60.1404	16.5465	40	40	100	100
32	60.1163	11.8477	40	40	100	100
33	68.1145	25.0662	40	40	100	100
34	63.1971	25.8477	40	40	100	100
35	66.3752	20.7765	40	40	100	100
36	64.6178	28.0122	40	40	100	100
37	68.2235	29.1242	40	40	100	100
38	59.6566	-160.6235	40	40	100	100
39	59.5141	-158.1487	40	40	100	100
40	57.1437	-156.5161	40	40	100	100
41	57.8809	-157.4696	40	40	100	100
42	59.2093	-156.9850	40	40	100	100
43	56.0041	-130.3167	40	40	100	100
44	55.1204	-101.7122	40	40	100	100
45	51.3107	-88.7322	40	40	100	100
46	50.1756	-89.2889	40	40	100	100
47	55.0103	-89.6728	40	40	100	100
48	56.3187	-89.8499	40	40	100	100
49	53.0094	-70.0100	40	40	100	100
50	53.4807	-71.3534	40	40	100	100
51	51.0926	-78.8628	40	40	100	100
52	50.5253	-78.1213	40	40	100	100
53	51.9457	-70.5084	40	40	100	100
54	55.1367	-77.5338	40	40	100	100
55	57.4201	-72.1250	40	40	100	100
56	57.0098	-73.8545	40	40	100	100
57	53.5473	-59.2851	40	40	100	100
58	53.1011	-0.0290	40	40	100	100
59	53.7460	-2.2160	40	40	100	100
60	51.1748	-0.5412	40	40	100	100
61	50.2640	-5.0963	40	40	100	100
62	57.6333	-5.0893	40	40	100	100
63	52.3408	-2.4508	40	40	100	100
64	52.2347	-9.7518	40	40	100	100
65	50.8172	-2.6866	40	40	100	100
66	55.2483	-2.0842	40	40	100	100
67	55.5811	-3.0485	40	40	100	100
68	53.8865	-6.8979	40	40	100	100
69	51.8607	-0.9447	40	40	100	100
70	52.4383	-1.8815	40	40	100	100
71	58.0175	-5.0205	40	40	100	100
72	57.6667	-3.0593	40	40	100	100
73	53.8609	-6.9028	40	40	100	100
74	53.8127	8.7518	40	40	100	100
75	50.2113	5.3102	40	40	100	100
76	59.0853	8.4644	40	40	100	100
77	59.5018	7.7292	40	40	100	100
78	56.9760	9.8012	40	40	100	100
79	59.4337	8.8055	40	40	100	100
80	51.9596	7.2081	40	40	100	100
81	51.8865	0.2843	40	40	100	100
82	50.5480	7.3547	40	40	100	100
83	59.4326	9.6798	40	40	100	100
84	54.5466	9.5890	40	40	100	100
85	58.8612	8.1333	40	40	100	100
86	50.6059	2.0256	40	40	100	100
87	58.5391	8.5803	40	40	100	100
88	51.5890	8.1349	40	40	100	100
89	53.2857	5.5712	40	40	100	100
90	50.8184	12.2387	40	40	100	100
91	55.7244	13.8209	40	40	100	100
92	52.1873	16.6665	40	40	100	100
93	50.3915	11.3418	40	40	100	100
94	50.7231	11.5097	40	40	100	100
95	53.7370	10.8272	40	40	100	100
96	57.9276	16.0092	40	40	100	100
97	53.6663	13.9014	40	40	100	100
98	59.9864	17.7104	40	40	100	100
99	53.7336	12.4049	40	40	100	100
100	58.4578	13.4088	40	40	100	100
101	52.6265	17.8222	40	40	100	100
102	53.6369	19.6715	40	40	100	100
103	51.2594	11.0611	40	40	100	100
104	51.7227	10.1698	40	40	100	100
105	59.7431	17.2098	40	40	100	100
106	51.8634	20.8811	40	40	100	100
107	49.1239	-124.7858	40	40	100	100
108	44.8564	-120.5257	40	40	100	100
109	42.4805	-123.0130	40	40	100	100
110	44.8323	-123.9044	40	40	100	100
111	49.0544	-124.3626	40	40	100	100
112	41.6938	-120.4093	40	40	100	100
113	48.5767	-123.0101	40	40	100	100
114	49.3611	-122.9875	40	40	100	100
115	40.7138	-121.5769	40	40	100	100
116	49.4378	-126.0786	40	40	100	100
117	43.2355	-122.9891	40	40	100	100
118	49.3004	-122.6153	40	40	100	100
119	46.2460	-123.3324	40	40	100	100
120	41.5446	-122.0657	40	40	100	100
121	44.5321	-121.4771	40	40	100	100
122	43.7258	-122.4659	40	40	100	100
123	40.8307	-117.2703	40	40	100	100
124	43.1346	-118.6709	40	40	100	100
125	48.1348	-118.4253	40	40	100	100
126	41.3697	-115.7323	40	40	100	100
127	42.7613	-118.1524	40	40	100	100
128	49.7168	-119.2845	40	40	100	100
129	42.6446	-118.5790	40	40	100	100
130	48.7945	-108.9314	40	40	100	100
131	40.9251	-107.5172	40	40	100	100
132	48.5764	-106.5992	40	40	100	100
133	42.5334	-104.8904	40	40	100	100
134	42.9299	-97.2948	40	40	100	100
135	43.5417	-95.7685	40	40	100	100
136	44.0655	-95.2041	40	40	100	100
137	45.3276	-91.4001	40	40	100	100
138	43.5230	-83.2344	40	40	100	100
139	48.2557	-81.7156	40	40	100	100
140	44.0115	-86.0878	40	40	100	100
141	43.7491	-80.8113	40	40	100	100
142	41.7779	-76.6194	40	40	100	100
143	40.3197	-75.6372	40	40	100	100
144	47.8302	-72.4595	40	40	100	100
145	49.8489	-73.7324	40	40	100	100
146	44.2399	-71.0546	40	40	100	100
147	47.6985	-76.2807	40	40	100	100
148	41.8398	-79.7595	40	40	100	100
149	46.0638	-79.8945	40	40	100	100
150	43.8431	-79.9782	40	40	100	100
151	46.2441	-76.8632	40	40	100	100
152	45.3934	-74.3163	40	40	100	100
153	43.0463	-71.7133	40	40	100	100
154	40.8567	-79.1399	40	40	100	100
155	44.8165	-77.8276	40	40	100	100
156	42.4973	-71.1787	40	40	100	100
157	47.8526	-71.8033	40	40	100	100
158	47.0175	-71.9932	40	40	100	100
159	47.9698	-75.1015	40	40	100	100
160	44.8454	-79.5398	40	40	100	100
161	45.5217	-72.3214	40	40	100	100
162	42.3172	-78.1423	40	40	100	100
163	42.2482	-77.8983	40	40	100	100
164	43.0979	-74.5407	40	40	100	100
165	40.9469	-75.3355	40	40	100	100
166	44.2529	-64.6937	40	40	100	100
167	46.8502	-69.5983	40	40	100	100
168	46.8269	-65.7613	40	40	100	100
169	48.7867	-66.3410	40	40	100	100
170	47.0735	-68.8955	40	40	100	100
171	44.1085	-65.2296	40	40	100	100
172	48.7264	-65.7526	40	40	100	100
173	45.7100	-67.4393	40	40	100	100
174	49.1198	-57.6395	40	40	100	100
175	40.0015	-4.3968	40	40	100	100
176	40.3225	-8.1791	40	40	100	100
177	45.6715	-0.9603	40	40	100	100
178	41.7640	-6.8399	40	40	100	100
179	42.1035	-2.3418	40	40	100	100
180	43.3264	-3.5857	40	40	100	100
181	43.1707	-2.5895	40	40	100	100
182	49.1660	-0.7985	40	40	100	100
183	42.4382	-8.0617	40	40	100	100
184	47.1523	-1.1499	40	40	100	100
185	42.2802	-6.4020	40	40	100	100
186	47.2068	-0.7888	40	40	100	100
187	40.0117	-2.9142	40	40	100	100
188	41.7483	-1.9148	40	40	100	100
189	42.1367	-5.2189	40	40	100	100
190	40.3487	-6.6295	40	40	100	100
191	42.1855	1.1044	40	40	100	100
192	43.9961	6.3789	40	40	100	100
193	47.3654	3.7607	40	40	100	100
194	45.3158	3.5611	40	40	100	100
195	40.6002	9.3356	40	40	100	100
196	46.8571	0.1687	40	40	100	100
197	48.3630	4.4558	40	40	100	100
198	48.0789	9.7986	40	40	100	100
199	46.0711	0.4358	40	40	100	100
200	49.6896	3.4315	40	40	100	100
201	44.9293	2.6836	40	40	100	100
202	49.3956	3.6679	40	40	100	100
203	48.6030	1.2478	40	40	100	100
204	41.1102	0.0840	40	40	100	100
205	46.2731	5.4796	40	40	100	100
206	49.0701	5.0196	40	40	100	100
207	48.3509	6.3240	40	40	100	100
208	48.6151	8.0160	40	40	100	100
209	48.1017	6.9806	40	40	100	100
210	45.1063	6.9844	40	40	100	100
211	42.6141	0.5688	40	40	100	100
212	49.6449	9.2306	40	40	100	100
213	48.2945	3.2175	40	40	100	100
214	46.3316	9.5869	40	40	100	100
215	48.4161	2.8138	40	40	100	100
216	49.0480	9.0417	40	40	100	100
217	40.5845	8.6583	40	40	100	100
218	47.6902	9.6710	40	40	100	100
219	40.7498	0.4674	40	40	100	100
220	45.4514	5.3602	40	40	100	100
221	44.2325	1.7550	40	40	100	100
222	41.9420	0.8306	40	40	100	100
223	43.4832	2.6619	40	40	100	100
224	42.2541	2.1930	40	40	100	100
225	45.8274	5.2523	40	40	100	100
226	47.7980	5.7892	40	40	100	100
227	44.2308	6.9105	40	40	100	100
228	49.1336	1.8764	40	40	100	100
229	43.2478	0.7479	40	40	100	100
230	44.9989	1.0152	40	40	100	100
231	40.2567	16.3146	40	40	100	100
232	41.1911	19.8179	40	40	100	100
233	46.7021	13.9734	40	40	100	100
234	42.1889	11.8862	40	40	100	100
235	43.6392	17.6751	40	40	100	100
236	43.8546	10.6742	40	40	100	100
237	48.2637	19.3166	40	40	100	100
238	44.0016	17.7328	40	40	100	100
239	46.2027	10.1371	40	40	100	100
240	47.8876	11.9357	40	40	100	100
241	42.9352	11.6662	40	40	100	100
242	46.7287	12.3677	40	40	100	100
243	46.3145	16.9293	40	40	100	100
244	42.0149	14.5368	40	40	100	100
245	48.3850	15.7949	40	40	100	100
246	45.0370	18.5392	40	40	100	100
247	47.7169	15.3740	40	40	100	100
248	49.6374	17.8076	40	40	100	100
249	44.8207	15.5182	40	40	100	100
250	44.9485	13.9672	40	40	100	100
251	45.0339	18.3388	40	40	100	100
252	42.8910	19.4160	40	40	100	100
253	44.1582	10.1063	40	40	100	100
254	42.6586	12.1454	40	40	100	100
255	41.0644	25.5543	40	40	100	100
256	48.6336	28.6322	40	40	100	100
257	44.6145	26.3852	40	40	100	100
258	44.8456	20.1273	40	40	100	100
259	49.0835	22.1683	40	40	100	100
260	49.3990	27.3044	40	40	100	100
261	43.6815	24.4655	40	40	100	100
262	40.7645	20.8234	40	40	100	100
263	41.0375	35.3650	40	40	100	100
264	49.3190	35.6020	40	40	100	100
265	46.5317	38.4782	40	40	100	100
266	48.5652	36.0895	40	40	100	100
267	42.7007	140.9885	40	40	100	100
268	46.7331	142.5064	40	40	100	100
269	49.0984	140.1658	40	40	100	100
270	42.6371	143.3512	40	40	100	100
271	43.6402	141.7142	40	40	100	100
272	43.6598	143.6694	40	40	100	100
273	49.5148	142.2673	40	40	100	100
274	42.7478	142.4989	40	40	100	100
275	44.4109	142.7016	40	40	100	100
276	43.5959	144.1437	40	40	100	100
277	41.7656	140.4579	40	40	100	100
278	42.2739	140.2781	40	40	100	100
279	48.7345	142.7104	40	40	100	100
280	43.9989	141.9403	40	40	100	100
281	43.0957	143.5361	40	40	100	100
282	43.1377	144.7966	40	40	100	100
283	42.6313	142.6172	40	40	100	100
284	40.3933	141.3563	40	40	100	100
285	43.2652	144.8174	40	40	100	100
286	42.9825	142.9968	40	40	100	100
287	48.8190	142.8949	40	40	100	100
288	40.2626	141.8493	40	40	100	100
289	46.6704	141.9396	40	40	100	100
290	42.6900	140.7268	40	40	100	100
291	49.9134	142.9562	40	40	100	100
292	42.5931	142.3465	40	40	100	100
293	47.2791	143.0958	40	40	100	100
294	43.2214	141.7305	40	40	100	100
295	45.0765	142.2033	40	40	100	100
296	49.5139	140.1842	40	40	100	100
297	44.2052	143.1898	40	40	100	100
298	47.3244	142.9424	40	40	100	100
299	41.2369	140.5521	40	40	100	100
300	43.6624	143.6259	40	40	100	100
301	43.8892	143.6643	40	40	100	100
302	49.1798	142.7675	40	40	100	100
303	43.2487	142.0956	40	40	100	100
304	43.2616	143.4356	40	40	100	100
305	42.7637	142.4679	40	40	100	100
306	43.4877	146.1369	40	40	100	100
307	40.1600	141.3015	40	40	100	100
308	42.6422	140.1116	40	40	100	100
309	43.2257	143.2141	40	40	100	100
310	43.3721	142.9085	40	40	100	100
311	36.3198	-120.5723	40	40	100	100
312	38.8474	-120.9837	40	40	100	100
313	39.0154	-122.9649	40	40	100	100
314	37.9232	-121.9631	40	40	100	100
315	39.9859	-123.4268	40	40	100	100
316	39.7870	-120.6605	40	40	100	100
317	38.0506	-120.3521	40	40	100	100
318	37.5547	-121.1352	40	40	100	100
319	36.8247	-121.5050	40	40	100	100
320	39.6967	-122.8023	40	40	100	100
321	36.1861	-121.1177	40	40	100	100
322	39.0724	-121.9381	40	40	100	100
323	37.1029	-120.2206	40	40	100	100
324	35.7259	-120.2395	40	40	100	100
325	38.5693	-121.3769	40	40	100	100
326	36.9558	-120.1740	40	40	100	100
327	35.1660	-120.1573	40	40	100	100
328	35.4633	-120.2517	40	40	100	100
329	38.3886	-122.2064	40	40	100	100
330	39.1365	-121.0077	40	40	100	100
331	35.2583	-120.3963	40	40	100	100
332	36.1543	-121.3572	40	40	100	100
333	38.1400	-120.2407	40	40	100	100
334	35.2256	-118.9958	40	40	100	100
335	37.2902	-118.5841	40	40	100	100
336	35.4589	-113.3964	40	40	100	100
337	31.7582	-113.1778	40	40	100	100
338	38.4482	-105.4302	40	40	100	100
339	32.0809	-102.1885	40	40	100	100
340	36.3438	-108.8354	40	40	100	100
341	31.0164	-108.3120	40	40	100	100
342	35.6423	-90.8885	40	40	100	100
343	30.7230	-98.4233	40	40	100	100
344	31.4786	-96.7222	40	40	100	100
345	31.5589	-97.5301	40	40	100	100
346	33.9740	-82.7901	40	40	100	100
347	34.9015	-82.8358	40	40	100	100
348	39.7356	-76.4173	40	40	100	100
349	38.6757	-79.3954	40	40	100	100
350	36.6786	-79.7555	40	40	100	100
351	35.2887	-77.6906	40	40	100	100
352	37.3132	-79.6961	40	40	100	100
353	35.3796	-79.8113	40	40	100	100
354	37.1134	-76.6074	40	40	100	100
355	38.4964	-79.3315	40	40	100	100
356	32.8101	-0.6576	40	40	100	100
357	38.9046	-4.7226	40	40	100	100
358	39.4767	-1.4797	40	40	100	100
359	37.8022	-7.8744	40	40	100	100
360	33.5956	-5.7680	40	40	100	100
361	37.9534	-7.8540	40	40	100	100
362	31.4836	-4.0882	40	40	100	100
363	39.5091	-6.5001	40	40	100	100
364	32.7047	-1.7408	40	40	100	100
365	34.4691	-5.5614	40	40	100	100
366	30.0529	-0.1996	40	40	100	100
367	31.9587	-6.8253	40	40	100	100
368	39.5044	-1.7710	40	40	100	100
369	32.5559	-7.2315	40	40	100	100
370	34.4032	-6.4056	40	40	100	100
371	30.8108	-5.3136	40	40	100	100
372	30.9304	-3.1375	40	40	100	100
373	39.3919	-0.6562	40	40	100	100
374	32.3097	-7.3386	40	40	100	100
375	32.7959	-4.9425	40	40	100	100
376	33.3566	-7.6412	40	40	100	100
377	37.5143	-3.8894	40	40	100	100
378	37.8353	-6.9026	40	40	100	100
379	35.0758	9.9926	40	40	100	100
380	35.3674	3.7852	40	40	100	100
381	33.7475	0.4624	40	40	100	100
382	35.2396	1.6727	40	40	100	100
383	31.9581	0.8804	40	40	100	100
384	35.0363	4.8504	40	40	100	100
385	31.7293	5.9364	40	40	100	100
386	32.6769	3.2729	40	40	100	100
387	39.5472	16.4596	40	40	100	100
388	30.9120	15.7591	40	40	100	100
389	35.5223	10.1782	40	40	100	100
390	32.3471	13.1233	40	40	100	100
391	36.7982	12.1150	40	40	100	100
392	32.4654	13.9058	40	40	100	100
393	31.3890	10.3707	40	40	100	100
394	32.0429	14.9915	40	40	100	100
395	30.8098	13.8081	40	40	100	100
396	31.9935	14.3512	40	40	100	100
397	37.2339	14.0753	40	40	100	100
398	30.3193	15.7349	40	40	100	100
399	32.1578	13.9592	40	40	100	100
400	37.9790	12.6370	40	40	100	100
401	32.4054	14.6332	40	40	100	100
402	39.0369	28.7062	40	40	100	100
403	36.2336	29.7258	40	40	100	100
404	36.6741	29.5261	40	40	100	100
405	31.7885	20.3512	40	40	100	100
406	30.5625	23.1776	40	40	100	100
407	35.4044	23.6288	40	40	100	100
408	31.5944	23.7628	40	40	100	100
409	36.8149	27.2234	40	40	100	100
410	32.6985	22.0835	40	40	100	100
411	39.2056	20.7297	40	40	100	100
412	39.7411	20.4396	40	40	100	100
413	30.8481	24.9998	40	40	100	100
414	31.5044	23.2142	40	40	100	100
415	32.4125	20.5584	40	40	100	100
416	31.2360	21.1568	40	40	100	100
417	38.5694	28.0629	40	40	100	100
418	38.2498	21.9791	40	40	100	100
419	30.5436	24.9220	40	40	100	100
420	30.7404	24.6096	40	40	100	100
421	32.0666	21.3476	40	40	100	100
422	30.2708	27.6130	40	40	100	100
423	30.2044	20.6903	40	40	100	100
424	37.1165	27.4235	40	40	100	100
425	31.9515	23.6317	40	40	100	100
426	30.1589	23.4848	40	40	100	100
427	39.9567	21.1305	40	40	100	100
428	39.1372	21.6644	40	40	100	100
429	31.7993	22.4422	40	40	100	100
430	38.1409	20.7759	40	40	100	100
431	39.2400	26.1298	40	40	100	100
432	35.0325	33.5508	40	40	100	100
433	34.0240	39.8685	40	40	100	100
434	33.0675	36.9931	40	40	100	100
435	32.8374	37.4043	40	40	100	100
436	33.1449	36.1542	40	40	100	100
437	31.1910	35.0188	40	40	100	100
438	30.4058	33.0409	40	40	100	100
439	36.0569	39.1200	40	40	100	100
440	38.7266	33.5725	40	40	100	100
441	38.1786	31.9481	40	40	100	100
442	34.6737	39.4300	40	40	100	100
443	38.2934	31.7847	40	40	100	100
444	38.8527	30.5403	40	40	100	100
445	37.0955	38.9854	40	40	100	100
446	34.9688	37.4488	40	40	100	100
447	32.6530	36.3834	40	40	100	100
448	34.3238	37.8866	40	40	100	100
449	38.9904	36.0804	40	40	100	100
450	30.7273	34.1043	40	40	100	100
451	39.8151	31.0830	40	40	100	100
452	35.2348	38.8561	40	40	100	100
453	33.1904	36.9667	40	40	100	100
454	30.2991	31.0747	40	40	100	100
455	38.8440	30.4202	40	40	100	100
456	38.8322	39.5364	40	40	100	100
457	39.6116	33.6260	40	40	100	100
