utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	80.6925	-91.8980	40	40	100	100
2	80.1942	-91.6563	40	40	100	100
3	80.3751	-94.2209	40	40	100	100
4	80.7196	-92.1109	40	40	100	100
5	80.5292	-93.3231	40	40	100	100
6	80.1660	-96.3636	40	40	100	100
7	82.2595	-80.9477	40	40	100	100
8	80.2411	-84.1509	40	40	100	100
9	81.5625	-86.1086	40	40	100	100
10	81.5834	-84.9068	40	40	100	100
11	80.0156	-88.5917	40	40	100	100
12	80.9424	-80.5029	40	40	100	100
13	80.5539	-75.9867	40	40	100	100
14	80.0757	-77.7059	40	40	100	100
15	82.3830	-74.0209	40	40	100	100
16	81.4571	-75.9342	40	40	100	100
17	81.6135	-79.9798	40	40	100	100
18	80.2636	-78.7726	40	40	100	100
19	80.4552	-63.0264	40	40	100	100
20	81.0607	-67.4990	40	40	100	100
21	80.1808	-59.0992	40	40	100	100
22	80.7567	-56.0998	40	40	100	100
23	83.0146	-42.2638	40	40	100	100
24	81.9170	-44.0860	40	40	100	100
25	83.3646	-30.7112	40	40	100	100
26	82.3623	-33.3564	40	40	100	100
27	82.5652	-26.8224	40	40	100	100
28	81.2614	-21.1258	40	40	100	100
29	80.9753	-18.9400	40	40	100	100
30	81.7826	-14.7931	40	40	100	100
31	80.3255	18.4257	40	40	100	100
32	80.0737	14.5297	40	40	100	100
33	80.0140	16.3212	40	40	100	100
34	80.0720	19.3989	40	40	100	100
35	80.0161	19.2815	40	40	100	100
36	80.1911	19.7587	40	40	100	100
37	80.0580	26.1166	40	40	100	100
38	80.1395	22.7085	40	40	100	100
39	80.0175	23.3167	40	40	100	100
40	80.3480	20.3565	40	40	100	100
41	71.9610	-123.8415	40	40	100	100
42	72.6684	-123.7568	40	40	100	100
43	72.6512	-120.5471	40	40	100	100
44	72.3132	-124.8437	40	40	100	100
45	73.5012	-120.2549	40	40	100	100
46	72.5565	-121.4440	40	40	100	100
47	73.1878	-114.2528	40	40	100	100
48	78.6782	-110.1581	40	40	100	100
49	70.0952	-112.1716	40	40	100	100
50	75.2406	-110.8626	40	40	100	100
51	73.5643	-118.3669	40	40	100	100
52	73.9214	-116.7481	40	40	100	100
53	75.4343	-105.7319	40	40	100	100
54	70.9635	-107.0983	40	40	100	100
55	70.7084	-107.6451	40	40	100	100
56	79.9600	-92.0966	40	40	100	100
57	73.4889	-91.6477	40	40	100	100
58	75.4969	-91.0842	40	40	100	100
59	71.4702	-80.9367	40	40	100	100
60	78.6115	-86.2265	40	40	100	100
61	71.8003	-82.0928	40	40	100	100
62	75.9788	-79.2226	40	40	100	100
63	79.9567	-76.9349	40	40	100	100
64	71.9083	-76.0058	40	40	100	100
65	78.6207	-65.1371	40	40	100	100
66	77.9885	-63.2774	40	40	100	100
67	79.3824	-62.5412	40	40	100	100
68	76.7328	-56.6188	40	40	100	100
69	73.0287	-53.8001	40	40	100	100
70	76.0423	-57.9822	40	40	100	100
71	74.8832	-55.3677	40	40	100	100
72	79.5673	-59.8799	40	40	100	100
73	79.6806	-59.2814	40	40	100	100
74	71.5588	-42.9619	40	40	100	100
75	71.2455	-38.0995	40	40	100	100
76	72.3753	-28.3324	40	40	100	100
77	74.5718	-25.9950	40	40	100	100
78	72.9401	-26.4857	40	40	100	100
79	75.3022	-19.8182	40	40	100	100
80	79.2230	13.9644	40	40	100	100
81	77.7775	16.5475	40	40	100	100
82	78.8467	14.4901	40	40	100	100
83	79.0435	18.3120	40	40	100	100
84	77.4355	14.4285	40	40	100	100
85	78.8875	13.5486	40	40	100	100
86	79.6658	15.1142	40	40	100	100
87	77.4560	17.0030	40	40	100	100
88	78.8969	15.1143	40	40	100	100
89	79.7870	10.8404	40	40	100	100
90	78.2857	15.9252	40	40	100	100
91	78.6605	18.8012	40	40	100	100
92	77.8426	15.0182	40	40	100	100
93	79.1587	17.8392	40	40	100	100
94	79.3838	18.5696	40	40	100	100
95	79.3885	17.5633	40	40	100	100
96	77.5478	14.4406	40	40	100	100
97	79.5024	16.5542	40	40	100	100
98	77.6355	14.3839	40	40	100	100
99	77.2141	15.3245	40	40	100	100
100	77.4665	16.9008	40	40	100	100
101	79.4805	14.8678	40	40	100	100
102	78.4723	18.2757	40	40	100	100
103	76.9461	15.5758	40	40	100	100
104	77.8194	24.0671	40	40	100	100
105	70.2233	22.1867	40	40	100	100
106	70.2535	27.2768	40	40	100	100
107	70.3009	27.7717	40	40	100	100
108	70.5878	29.1073	40	40	100	100
109	79.7337	25.0603	40	40	100	100
110	70.5170	25.9175	40	40	100	100
111	78.5085	21.5533	40	40	100	100
112	79.3780	23.1739	40	40	100	100
113	79.4491	21.2720	40	40	100	100
114	79.6965	21.1311	40	40	100	100
115	70.0641	26.8970	40	40	100	100
116	70.5045	24.1823	40	40	100	100
117	79.9857	21.5470	40	40	100	100
118	77.6608	23.4297	40	40	100	100
119	79.9737	20.7706	40	40	100	100
120	78.4795	21.0636	40	40	100	100
