utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	79.8866	23.2218	640	1600	2000	2000
2	65.8541	-15.8221	640	1600	2000	2000
3	60.5041	7.8105	640	1600	2000	2000
4	66.1932	13.2302	640	1600	2000	2000
5	60.2337	20.0067	640	1600	2000	2000
6	59.3162	-157.9205	640	1600	2000	2000
7	55.7360	-130.3103	640	1600	2000	2000
8	56.2699	-112.4924	640	1600	2000	2000
9	51.7940	-104.6687	640	1600	2000	2000
10	59.7785	-73.9018	640	1600	2000	2000
11	55.8769	-6.1570	640	1600	2000	2000
12	51.1757	-3.3585	640	1600	2000	2000
13	53.0886	9.3234	640	1600	2000	2000
14	51.9348	15.5655	640	1600	2000	2000
15	57.9053	12.8693	640	1600	2000	2000
16	55.8804	23.6564	640	1600	2000	2000
17	40.5005	-123.7149	640	1600	2000	2000
18	49.5847	-112.5684	640	1600	2000	2000
19	44.1738	-104.1898	640	1600	2000	2000
20	49.4801	-97.5045	640	1600	2000	2000
21	46.2967	-88.4685	640	1600	2000	2000
22	49.9851	-71.2409	640	1600	2000	2000
23	44.6840	-65.7777	640	1600	2000	2000
24	48.0490	-57.7715	640	1600	2000	2000
25	47.7316	-1.4342	640	1600	2000	2000
26	49.5149	5.8817	640	1600	2000	2000
27	48.3597	6.5941	640	1600	2000	2000
28	44.4087	18.3923	640	1600	2000	2000
29	49.0649	17.6577	640	1600	2000	2000
30	46.9388	23.5361	640	1600	2000	2000
31	46.5393	36.2507	640	1600	2000	2000
32	49.4731	41.5389	640	1600	2000	2000
33	47.7066	61.9015	640	1600	2000	2000
34	45.9821	78.7224	640	1600	2000	2000
35	43.2560	140.8285	640	1600	2000	2000
36	39.2838	-122.2524	640	1600	2000	2000
37	37.6204	-117.9010	640	1600	2000	2000
38	32.8222	-105.5915	640	1600	2000	2000
39	38.5629	-99.9592	640	1600	2000	2000
40	35.8287	-86.3892	640	1600	2000	2000
41	35.1367	-77.8672	640	1600	2000	2000
42	39.6364	-79.6748	640	1600	2000	2000
43	32.7133	-2.5062	640	1600	2000	2000
44	31.6434	3.1633	640	1600	2000	2000
45	30.8215	10.8899	640	1600	2000	2000
46	39.0455	29.1948	640	1600	2000	2000
47	31.0542	26.7198	640	1600	2000	2000
48	30.2759	39.3622	640	1600	2000	2000
49	39.7318	65.9541	640	1600	2000	2000
50	38.1092	125.6854	640	1600	2000	2000
51	37.1797	139.6788	640	1600	2000	2000
52	39.1485	141.0898	640	1600	2000	2000
53	21.6221	-158.2818	640	1600	2000	2000
54	29.7160	-110.9006	640	1600	2000	2000
55	20.3455	-104.3386	640	1600	2000	2000
56	26.1474	-80.8958	640	1600	2000	2000
57	23.0241	-14.7577	640	1600	2000	2000
58	25.3142	23.9300	640	1600	2000	2000
59	28.8235	33.6180	640	1600	2000	2000
60	22.6012	47.3148	640	1600	2000	2000
61	22.1946	54.2713	640	1600	2000	2000
62	20.4654	56.9926	640	1600	2000	2000
63	28.7972	65.5900	640	1600	2000	2000
64	28.9665	71.7192	640	1600	2000	2000
65	21.5982	83.4030	640	1600	2000	2000
66	28.8565	129.7846	640	1600	2000	2000
67	19.7862	-155.1409	640	1600	2000	2000
68	16.5325	-85.7704	640	1600	2000	2000
69	12.3501	-71.5920	640	1600	2000	2000
70	10.8708	-69.1362	640	1600	2000	2000
71	14.4427	44.7381	640	1600	2000	2000
72	16.6894	51.6978	640	1600	2000	2000
73	11.7392	77.4430	640	1600	2000	2000
74	15.9446	75.9103	640	1600	2000	2000
75	19.8431	83.3983	640	1600	2000	2000
76	18.4852	95.2629	640	1600	2000	2000
77	15.2228	104.4050	640	1600	2000	2000
78	16.3620	119.9129	640	1600	2000	2000
79	13.5902	121.1031	640	1600	2000	2000
80	8.7911	-82.5549	640	1600	2000	2000
81	6.6513	-8.2606	640	1600	2000	2000
82	7.7373	8.2102	640	1600	2000	2000
83	9.7206	77.3516	640	1600	2000	2000
84	9.8553	80.0352	640	1600	2000	2000
85	2.2025	99.6223	640	1600	2000	2000
86	4.8115	101.2196	640	1600	2000	2000
87	1.5724	112.5522	640	1600	2000	2000
88	6.9358	121.6393	640	1600	2000	2000
89	-5.2206	-74.4280	640	1600	2000	2000
90	-8.9464	-35.8110	640	1600	2000	2000
91	-9.4801	32.7231	640	1600	2000	2000
92	-6.6492	71.2512	640	1600	2000	2000
93	-6.9627	108.2368	640	1600	2000	2000
94	-7.1940	111.9690	640	1600	2000	2000
95	-1.6087	121.6517	640	1600	2000	2000
96	-16.7235	-151.1187	640	1600	2000	2000
97	-15.7448	-71.8079	640	1600	2000	2000
98	-16.3551	-58.3331	640	1600	2000	2000
99	-15.9332	-44.4368	640	1600	2000	2000
100	-17.3574	12.4438	640	1600	2000	2000
101	-18.0441	131.3121	640	1600	2000	2000
102	-18.1181	140.3228	640	1600	2000	2000
103	-28.3209	-57.6696	640	1600	2000	2000
104	-23.4766	-45.0739	640	1600	2000	2000
105	-25.0574	26.0718	640	1600	2000	2000
106	-20.3872	45.2503	640	1600	2000	2000
107	-21.1936	118.4847	640	1600	2000	2000
108	-36.5832	-71.2597	640	1600	2000	2000
109	-36.1923	-57.5071	640	1600	2000	2000
110	-30.3074	123.0109	640	1600	2000	2000
111	-33.8807	145.7547	640	1600	2000	2000
112	-38.4820	178.0705	640	1600	2000	2000
113	-45.9767	-68.8106	640	1600	2000	2000
