utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	81.9321	-87.7939	50	20	100	40
2	82.6614	-87.4977	50	20	100	40
3	82.5169	24.1270	50	20	100	40
4	82.1571	21.0340	50	20	100	40
5	80.7527	79.3099	50	20	100	40
6	86.8994	73.9125	50	20	100	40
7	85.3847	121.6164	50	20	100	40
8	83.4270	123.4262	50	20	100	40
9	80.5299	155.8802	50	20	100	40
10	88.2013	158.2978	50	20	100	40
11	81.9304	169.1242	50	20	100	40
12	84.8130	162.4150	50	20	100	40
13	79.0828	-178.8491	50	20	100	40
14	78.1607	-174.1349	50	20	100	40
15	75.9622	-161.2579	50	20	100	40
16	78.4334	-165.5721	50	20	100	40
17	77.0301	-156.2283	50	20	100	40
18	75.1997	-158.7274	50	20	100	40
19	77.9962	-158.5028	50	20	100	40
20	72.2020	-158.3082	50	20	100	40
21	73.1717	-158.6274	50	20	100	40
22	73.6919	-157.7122	50	20	100	40
23	72.6676	-124.5255	50	20	100	40
24	76.5701	-125.9545	50	20	100	40
25	73.2773	-115.0798	50	20	100	40
26	74.3988	-115.9697	50	20	100	40
27	77.7763	-102.5480	50	20	100	40
28	70.7802	-108.7179	50	20	100	40
29	76.6773	-94.0244	50	20	100	40
30	73.3226	-92.0182	50	20	100	40
31	74.4765	-87.5321	50	20	100	40
32	78.3069	-85.5824	50	20	100	40
33	79.6922	-52.6611	50	20	100	40
34	74.5279	-53.6916	50	20	100	40
35	77.6210	-55.9765	50	20	100	40
36	72.0125	-41.5626	50	20	100	40
37	70.7182	-42.4866	50	20	100	40
38	77.9924	-47.1810	50	20	100	40
39	72.8321	-26.3782	50	20	100	40
40	79.5833	-28.4142	50	20	100	40
41	76.6841	19.6429	50	20	100	40
42	72.1162	15.5876	50	20	100	40
43	77.8645	14.8649	50	20	100	40
44	77.7929	12.7993	50	20	100	40
45	70.5069	17.0212	50	20	100	40
46	75.3065	14.7244	50	20	100	40
47	74.4211	26.6499	50	20	100	40
48	77.8875	20.0574	50	20	100	40
49	77.4093	23.0557	50	20	100	40
50	77.7722	20.9986	50	20	100	40
51	74.8378	23.6576	50	20	100	40
52	78.8650	26.0349	50	20	100	40
53	71.1598	179.9128	50	20	100	40
54	77.9298	178.0300	50	20	100	40
55	69.5971	-166.4449	50	20	100	40
56	66.6369	-161.0244	50	20	100	40
57	61.4190	-157.7479	50	20	100	40
58	69.0103	-159.6888	50	20	100	40
59	65.1255	-146.6424	50	20	100	40
60	69.1575	-145.2984	50	20	100	40
61	62.9891	-142.4179	50	20	100	40
62	65.2542	-145.1741	50	20	100	40
63	65.4301	-137.3431	50	20	100	40
64	63.2171	-133.4151	50	20	100	40
65	69.4355	-128.4819	50	20	100	40
