utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	61.8928	13.7961	800	1600	2000	2000
2	59.1848	-159.4706	800	1600	2000	2000
3	57.6613	-2.5636	800	1600	2000	2000
4	58.2555	7.1763	800	1600	2000	2000
5	47.4804	-61.8709	800	1600	2000	2000
6	42.5212	-8.2668	800	1600	2000	2000
7	49.7775	9.7496	800	1600	2000	2000
8	46.8903	19.7911	800	1600	2000	2000
9	38.8310	-122.9362	800	1600	2000	2000
10	38.9972	-6.5890	800	1600	2000	2000
11	30.5736	29.7251	800	1600	2000	2000
12	31.8253	37.4378	800	1600	2000	2000
13	31.1722	121.7813	800	1600	2000	2000
14	37.8503	139.3124	800	1600	2000	2000
15	39.6016	141.7409	800	1600	2000	2000
16	20.7253	-156.3884	800	1600	2000	2000
17	21.1747	-103.3525	800	1600	2000	2000
18	20.6789	-87.6588	800	1600	2000	2000
19	25.3968	-76.4733	800	1600	2000	2000
20	28.6634	47.2351	800	1600	2000	2000
21	29.3772	52.5273	800	1600	2000	2000
22	27.8677	61.3834	800	1600	2000	2000
23	24.9569	83.7020	800	1600	2000	2000
24	27.8638	120.7114	800	1600	2000	2000
25	16.7941	75.8613	800	1600	2000	2000
26	13.9365	107.1290	800	1600	2000	2000
27	5.8539	-75.1207	800	1600	2000	2000
28	8.3753	-12.6969	800	1600	2000	2000
29	6.7097	4.6167	800	1600	2000	2000
30	2.9197	97.6811	800	1600	2000	2000
31	6.1371	101.3462	800	1600	2000	2000
32	2.6965	125.4420	800	1600	2000	2000
33	-0.9123	40.0225	800	1600	2000	2000
34	-0.0445	102.4386	800	1600	2000	2000
35	-2.8863	115.2616	800	1600	2000	2000
36	-23.1312	30.3533	800	1600	2000	2000
37	-25.1093	115.9321	800	1600	2000	2000
38	-31.5486	-58.6636	800	1600	2000	2000
39	-34.5127	19.8130	800	1600	2000	2000
40	-33.9656	151.1650	800	1600	2000	2000
41	-46.5108	-75.0295	800	1600	2000	2000
42	-42.0757	172.6549	800	1600	2000	2000
