utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	88.7439	-118.0231	40	20	100	40
2	80.8534	-113.9591	40	20	100	40
3	84.3701	14.3991	40	20	100	40
4	84.7765	15.4119	40	20	100	40
5	73.4666	-169.4262	40	20	100	40
6	72.8115	-167.3226	40	20	100	40
7	71.6748	-155.3343	40	20	100	40
8	74.0128	-157.4893	40	20	100	40
9	78.5128	-87.3271	40	20	100	40
10	77.6669	-84.4807	40	20	100	40
11	71.2840	-88.4796	40	20	100	40
12	75.5053	-77.8570	40	20	100	40
13	72.2578	-70.3133	40	20	100	40
14	74.1018	-75.8046	40	20	100	40
15	75.4415	3.0570	40	20	100	40
16	79.9855	9.2673	40	20	100	40
17	74.8240	18.7574	40	20	100	40
18	78.2343	15.7212	40	20	100	40
19	73.6953	28.1225	40	20	100	40
20	78.6210	22.7211	40	20	100	40
21	75.3410	28.7702	40	20	100	40
22	73.2759	24.0776	40	20	100	40
23	76.5964	21.7470	40	20	100	40
24	75.6877	25.7533	40	20	100	40
25	70.6816	32.3917	40	20	100	40
26	79.4210	38.4735	40	20	100	40
27	77.9740	34.4367	40	20	100	40
28	73.3006	34.9426	40	20	100	40
29	71.8479	39.6438	40	20	100	40
30	72.2677	160.8745	40	20	100	40
31	72.4134	166.9452	40	20	100	40
32	73.2193	169.7487	40	20	100	40
33	73.8921	162.3127	40	20	100	40
34	76.9253	173.2994	40	20	100	40
35	77.7736	175.5943	40	20	100	40
36	63.4638	-171.1477	40	20	100	40
37	60.3019	-174.8149	40	20	100	40
38	63.3646	-176.4782	40	20	100	40
39	63.6349	-176.0546	40	20	100	40
40	64.5565	-175.5222	40	20	100	40
41	63.3209	-167.9656	40	20	100	40
42	69.4500	-169.6878	40	20	100	40
43	64.5184	-165.0234	40	20	100	40
44	60.1424	-145.5755	40	20	100	40
45	60.0705	-144.2782	40	20	100	40
46	60.9386	-149.2968	40	20	100	40
47	60.7849	-147.6871	40	20	100	40
48	60.1525	-99.1770	40	20	100	40
49	64.2258	-95.8021	40	20	100	40
50	64.4280	-98.5913	40	20	100	40
51	69.6010	-91.1163	40	20	100	40
52	68.7265	-99.2308	40	20	100	40
53	69.2287	-84.9311	40	20	100	40
54	69.7066	-86.1797	40	20	100	40
55	63.8476	-79.4940	40	20	100	40
56	68.9085	-78.1221	40	20	100	40
57	63.3825	-78.1815	40	20	100	40
58	65.9803	-62.4853	40	20	100	40
59	68.9660	-67.3722	40	20	100	40
60	60.7522	-69.6111	40	20	100	40
61	64.9441	-56.3800	40	20	100	40
62	64.1532	-59.5876	40	20	100	40
63	60.0790	-48.2198	40	20	100	40
64	60.2825	-49.4822	40	20	100	40
65	61.6517	-38.9340	40	20	100	40
66	62.3623	-37.2228	40	20	100	40
67	63.5721	-27.3012	40	20	100	40
68	65.5567	-25.4196	40	20	100	40
69	68.7867	-26.1733	40	20	100	40
70	68.3147	-22.9422	40	20	100	40
71	60.9449	-28.3978	40	20	100	40
72	66.7225	-27.6396	40	20	100	40
73	63.3107	-17.5456	40	20	100	40
74	69.7045	-19.3167	40	20	100	40
75	62.5202	-12.7762	40	20	100	40
76	69.7368	-3.4100	40	20	100	40
77	67.8498	-0.6244	40	20	100	40
78	67.2178	-3.1958	40	20	100	40
79	66.7948	-2.7027	40	20	100	40
80	65.1401	-7.7579	40	20	100	40
81	64.3776	-1.4664	40	20	100	40
82	61.4611	0.5275	40	20	100	40
83	64.3829	0.7723	40	20	100	40
84	66.3982	0.0874	40	20	100	40
85	63.5492	5.5209	40	20	100	40
86	67.9905	0.2620	40	20	100	40
87	65.4961	1.0874	40	20	100	40
88	64.5628	5.1197	40	20	100	40
89	69.0610	8.5903	40	20	100	40
90	68.3149	1.2093	40	20	100	40
91	61.5881	1.1017	40	20	100	40
92	66.7215	9.6572	40	20	100	40
93	68.5567	4.9675	40	20	100	40
94	60.3084	5.1052	40	20	100	40
95	67.6662	9.4870	40	20	100	40
96	62.8019	2.4461	40	20	100	40
97	61.2235	3.4283	40	20	100	40
98	69.6558	3.0952	40	20	100	40
99	65.8301	10.1270	40	20	100	40
100	61.2358	19.3352	40	20	100	40
101	61.4062	19.1104	40	20	100	40
102	68.3371	13.8376	40	20	100	40
103	69.8355	16.8512	40	20	100	40
104	60.5010	18.8092	40	20	100	40
105	69.2049	10.2977	40	20	100	40
106	62.7623	19.6175	40	20	100	40
107	66.8903	10.0468	40	20	100	40
108	69.3896	15.4589	40	20	100	40
109	61.3884	18.6174	40	20	100	40
110	69.6070	11.2403	40	20	100	40
111	65.4927	12.6280	40	20	100	40
112	67.7668	11.9508	40	20	100	40
113	66.7880	11.6473	40	20	100	40
114	64.7919	23.1614	40	20	100	40
115	60.2911	21.5628	40	20	100	40
116	63.1356	27.1365	40	20	100	40
117	62.5727	27.8547	40	20	100	40
118	65.2606	24.4573	40	20	100	40
119	60.2740	25.5233	40	20	100	40
120	61.4568	20.8809	40	20	100	40
121	64.0203	20.9466	40	20	100	40
122	62.0043	20.6870	40	20	100	40
123	65.8795	24.2007	40	20	100	40
124	65.0499	22.1867	40	20	100	40
125	63.0574	21.3100	40	20	100	40
126	64.3354	23.5224	40	20	100	40
127	69.9654	21.0247	40	20	100	40
128	64.4466	22.2649	40	20	100	40
129	60.0537	27.6461	40	20	100	40
130	63.3108	21.5955	40	20	100	40
131	69.7761	29.6353	40	20	100	40
132	60.3914	20.8363	40	20	100	40
133	63.8790	21.7891	40	20	100	40
134	65.2816	22.2123	40	20	100	40
135	65.3939	25.3606	40	20	100	40
136	62.3236	20.5830	40	20	100	40
137	62.5027	27.9155	40	20	100	40
138	69.6403	20.0466	40	20	100	40
139	64.6313	23.8852	40	20	100	40
140	61.6281	25.6524	40	20	100	40
141	63.3495	20.8745	40	20	100	40
142	65.0717	24.6417	40	20	100	40
143	58.1796	-178.6145	40	20	100	40
144	58.1383	-178.3552	40	20	100	40
145	52.4810	-170.7570	40	20	100	40
146	53.9070	-171.1059	40	20	100	40
147	52.9754	-169.1702	40	20	100	40
148	51.5177	-161.3185	40	20	100	40
149	59.2840	-164.8744	40	20	100	40
150	54.6604	-167.8609	40	20	100	40
151	58.2439	-153.1789	40	20	100	40
152	54.0194	-150.9387	40	20	100	40
153	55.0388	-158.5431	40	20	100	40
154	58.0604	-158.1837	40	20	100	40
155	53.9505	-153.7463	40	20	100	40
156	54.3362	-157.1436	40	20	100	40
157	50.5992	-141.3999	40	20	100	40
158	54.2972	-149.4130	40	20	100	40
159	57.8824	-149.5817	40	20	100	40
160	58.0085	-139.7596	40	20	100	40
161	57.0352	-136.9397	40	20	100	40
162	58.2693	-139.6900	40	20	100	40
163	50.1951	-130.7311	40	20	100	40
164	55.3364	-79.6688	40	20	100	40
165	58.9720	-66.7529	40	20	100	40
166	59.5461	-66.2454	40	20	100	40
167	59.2095	-66.4062	40	20	100	40
168	57.4933	-61.7133	40	20	100	40
169	50.7862	-51.4012	40	20	100	40
170	50.9397	-47.9020	40	20	100	40
171	58.2947	-46.7347	40	20	100	40
172	52.4012	-32.1575	40	20	100	40
173	53.7644	-23.9993	40	20	100	40
174	57.1777	-23.3939	40	20	100	40
175	50.7228	-11.0612	40	20	100	40
176	53.0594	-17.4029	40	20	100	40
177	51.4196	-11.7487	40	20	100	40
178	50.2644	-18.0892	40	20	100	40
179	57.4980	-8.0566	40	20	100	40
180	53.3956	-5.7580	40	20	100	40
181	55.3689	-9.3513	40	20	100	40
182	55.4625	-9.3787	40	20	100	40
183	54.7912	-1.1769	40	20	100	40
184	54.6722	-5.2724	40	20	100	40
185	55.3759	-8.7956	40	20	100	40
186	51.4982	-6.0637	40	20	100	40
187	58.9954	-7.5374	40	20	100	40
188	54.4782	-0.2319	40	20	100	40
189	56.9021	-1.6680	40	20	100	40
190	58.8549	-3.5281	40	20	100	40
191	53.0048	-5.9171	40	20	100	40
192	51.1987	-6.9078	40	20	100	40
193	56.0125	-9.4066	40	20	100	40
194	59.2006	-1.2727	40	20	100	40
195	58.7490	-6.0206	40	20	100	40
196	58.1091	-1.0877	40	20	100	40
197	59.2646	-0.0094	40	20	100	40
198	59.5841	-4.9788	40	20	100	40
199	58.6399	-6.2065	40	20	100	40
200	51.0178	-8.2829	40	20	100	40
201	59.0571	-2.5290	40	20	100	40
202	58.0420	-1.0583	40	20	100	40
203	59.7047	0.2991	40	20	100	40
204	54.4722	4.7973	40	20	100	40
205	58.3827	9.9764	40	20	100	40
206	57.0903	2.4037	40	20	100	40
207	59.5996	5.5391	40	20	100	40
208	56.1915	0.4307	40	20	100	40
209	56.6900	6.1634	40	20	100	40
210	57.8162	7.8495	40	20	100	40
211	56.7768	5.2178	40	20	100	40
212	52.5733	3.1365	40	20	100	40
213	56.1561	3.9947	40	20	100	40
214	59.0902	1.3914	40	20	100	40
215	53.4607	4.6949	40	20	100	40
216	52.9012	2.8185	40	20	100	40
217	51.9961	2.5196	40	20	100	40
218	54.6543	0.8477	40	20	100	40
219	52.5555	5.2816	40	20	100	40
220	55.3060	7.3063	40	20	100	40
221	55.3482	3.0718	40	20	100	40
222	58.1260	4.9269	40	20	100	40
223	54.1610	7.2271	40	20	100	40
224	56.1883	4.8145	40	20	100	40
225	53.7338	0.3232	40	20	100	40
226	59.5299	3.4505	40	20	100	40
227	57.9634	4.1458	40	20	100	40
228	57.9231	7.5386	40	20	100	40
229	55.3082	4.9842	40	20	100	40
230	57.0168	9.9402	40	20	100	40
231	58.0737	9.4973	40	20	100	40
232	55.3932	6.0241	40	20	100	40
233	58.9210	3.2286	40	20	100	40
234	59.4448	5.5298	40	20	100	40
235	59.2640	3.6854	40	20	100	40
236	51.4226	3.3554	40	20	100	40
237	55.7788	6.6060	40	20	100	40
238	56.8940	7.9517	40	20	100	40
239	50.0476	1.2372	40	20	100	40
240	59.0654	0.1230	40	20	100	40
241	57.2480	3.5935	40	20	100	40
242	56.7793	1.8409	40	20	100	40
243	53.2239	2.5943	40	20	100	40
244	55.3410	5.0569	40	20	100	40
245	57.1866	3.5011	40	20	100	40
246	56.1381	0.9713	40	20	100	40
247	55.5596	5.1813	40	20	100	40
248	58.4027	1.7368	40	20	100	40
249	59.2241	6.0834	40	20	100	40
250	53.5695	6.6009	40	20	100	40
251	51.3743	2.5719	40	20	100	40
252	51.1913	1.7086	40	20	100	40
253	59.2776	1.7382	40	20	100	40
254	54.3832	3.8833	40	20	100	40
255	53.9783	3.4089	40	20	100	40
256	54.8325	6.3084	40	20	100	40
257	54.0844	5.7972	40	20	100	40
258	59.4865	0.9209	40	20	100	40
259	57.8392	3.0491	40	20	100	40
260	54.8628	8.5809	40	20	100	40
261	57.1574	4.1706	40	20	100	40
262	52.9753	1.3330	40	20	100	40
263	55.0271	14.2778	40	20	100	40
264	54.5081	15.0568	40	20	100	40
265	58.1161	17.4306	40	20	100	40
266	54.3789	13.1354	40	20	100	40
267	59.3310	19.9183	40	20	100	40
268	54.9956	17.8375	40	20	100	40
269	55.0175	11.6721	40	20	100	40
270	57.3445	18.7747	40	20	100	40
271	57.3762	17.2277	40	20	100	40
272	55.0231	16.3112	40	20	100	40
273	56.7704	17.3399	40	20	100	40
274	55.8436	15.7961	40	20	100	40
275	54.8281	14.7447	40	20	100	40
276	57.8421	17.1869	40	20	100	40
277	55.8972	12.7424	40	20	100	40
278	54.5260	14.1167	40	20	100	40
279	57.2462	19.2935	40	20	100	40
280	54.8038	15.7555	40	20	100	40
281	56.8483	17.2439	40	20	100	40
282	55.2699	17.8823	40	20	100	40
283	55.5101	12.3790	40	20	100	40
284	54.6941	18.9102	40	20	100	40
285	59.0644	17.6987	40	20	100	40
286	57.6958	10.5306	40	20	100	40
287	55.4699	19.8605	40	20	100	40
288	57.6744	10.8771	40	20	100	40
289	55.4305	15.0728	40	20	100	40
290	56.2774	19.3721	40	20	100	40
291	57.6856	16.9138	40	20	100	40
292	56.6601	19.6139	40	20	100	40
