utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	78.9228	16.0092	800	1600	2000	2000
2	65.5852	-51.1622	800	1600	2000	2000
3	64.1164	-21.6103	800	1600	2000	2000
4	63.9441	29.6025	800	1600	2000	2000
5	59.0760	-160.0453	800	1600	2000	2000
6	56.0705	-125.8694	800	1600	2000	2000
7	55.5882	-86.0695	800	1600	2000	2000
8	56.2210	-70.5108	800	1600	2000	2000
9	54.5744	-6.3055	800	1600	2000	2000
10	52.4981	16.6639	800	1600	2000	2000
11	43.1913	-120.2377	800	1600	2000	2000
12	44.9344	-101.3568	800	1600	2000	2000
13	49.7842	-80.9388	800	1600	2000	2000
14	45.4131	-66.6088	800	1600	2000	2000
15	48.2716	-56.1843	800	1600	2000	2000
16	44.0712	5.6137	800	1600	2000	2000
17	48.9827	25.9298	800	1600	2000	2000
18	47.5070	39.7341	800	1600	2000	2000
19	40.2995	66.9690	800	1600	2000	2000
20	49.4681	109.2359	800	1600	2000	2000
21	44.6127	142.9232	800	1600	2000	2000
22	37.1869	-110.4128	800	1600	2000	2000
23	35.8062	-97.2748	800	1600	2000	2000
24	38.1794	-78.9357	800	1600	2000	2000
25	33.8137	-2.8306	800	1600	2000	2000
26	34.2073	8.7621	800	1600	2000	2000
27	32.4314	14.6083	800	1600	2000	2000
28	39.8619	37.6973	800	1600	2000	2000
29	37.8140	41.6693	800	1600	2000	2000
30	34.2865	54.8828	800	1600	2000	2000
31	33.4125	120.3061	800	1600	2000	2000
32	35.0884	126.4380	800	1600	2000	2000
33	35.9758	139.7588	800	1600	2000	2000
34	35.4239	133.8772	800	1600	2000	2000
35	38.3861	140.9703	800	1600	2000	2000
36	20.0765	-155.4739	800	1600	2000	2000
37	28.4216	-100.9792	800	1600	2000	2000
38	21.0412	-11.1697	800	1600	2000	2000
39	25.5473	25.1060	800	1600	2000	2000
40	25.8390	43.4035	800	1600	2000	2000
41	27.8902	58.1198	800	1600	2000	2000
42	29.1547	68.2715	800	1600	2000	2000
43	25.1168	73.8437	800	1600	2000	2000
44	29.5645	80.2312	800	1600	2000	2000
45	16.5914	-90.6650	800	1600	2000	2000
46	11.9774	-71.3801	800	1600	2000	2000
47	19.1592	1.6343	800	1600	2000	2000
48	15.3751	35.7267	800	1600	2000	2000
49	18.4400	78.4989	800	1600	2000	2000
50	19.9984	80.0627	800	1600	2000	2000
51	11.1625	99.2269	800	1600	2000	2000
52	14.9137	102.3925	800	1600	2000	2000
53	10.5602	123.8453	800	1600	2000	2000
54	1.5752	-56.5249	800	1600	2000	2000
55	7.7133	-6.0657	800	1600	2000	2000
56	7.3498	10.6538	800	1600	2000	2000
57	6.4081	22.1044	800	1600	2000	2000
58	9.1746	79.5460	800	1600	2000	2000
59	6.4304	80.1273	800	1600	2000	2000
60	1.3679	99.0698	800	1600	2000	2000
61	0.8854	101.5734	800	1600	2000	2000
62	3.7345	115.3885	800	1600	2000	2000
63	9.9830	125.6427	800	1600	2000	2000
64	-0.2392	-78.5676	800	1600	2000	2000
65	-9.2622	-69.7298	800	1600	2000	2000
66	-3.4193	-57.2538	800	1600	2000	2000
67	-3.1910	-40.2690	800	1600	2000	2000
68	-1.4735	17.6157	800	1600	2000	2000
69	-3.4465	20.1845	800	1600	2000	2000
70	-7.9910	35.6761	800	1600	2000	2000
71	-0.5059	73.1740	800	1600	2000	2000
72	-1.8174	103.6076	800	1600	2000	2000
73	-1.1897	119.5301	800	1600	2000	2000
74	-2.3614	121.6650	800	1600	2000	2000
75	-3.1704	134.3427	800	1600	2000	2000
76	-5.0509	152.0273	800	1600	2000	2000
77	-15.7035	-179.9677	800	1600	2000	2000
78	-16.4745	-151.8285	800	1600	2000	2000
79	-12.1036	-57.0705	800	1600	2000	2000
80	-11.1713	-37.9394	800	1600	2000	2000
81	-11.3474	29.9420	800	1600	2000	2000
82	-12.5125	136.4185	800	1600	2000	2000
83	-18.4101	145.8543	800	1600	2000	2000
84	-13.7252	167.4889	800	1600	2000	2000
85	-24.5947	-124.6817	800	1600	2000	2000
86	-23.1148	-60.7193	800	1600	2000	2000
87	-21.0256	-46.3367	800	1600	2000	2000
88	-23.4111	14.5055	800	1600	2000	2000
89	-22.8916	45.1308	800	1600	2000	2000
90	-27.8198	117.1144	800	1600	2000	2000
91	-26.7510	126.9520	800	1600	2000	2000
92	-29.5239	136.9980	800	1600	2000	2000
93	-23.7868	144.8913	800	1600	2000	2000
94	-38.90	-72.70	800	1600	2000	2000
95	-37.18	-66.76	800	1600	2000	2000
96	-33.27	-56.14	800	1600	2000	2000
97	-32.75	22.10	800	1600	2000	2000
98	-32.84	139.64	800	1600	2000	2000
99	-38.08	143.16	800	1600	2000	2000
100	-31.61	152.18	800	1600	2000	2000
101	-46.57	-71.71	800	1600	2000	2000
102	-41.23	146.42	800	1600	2000	2000
103	-40.60	175.43	800	1600	2000	2000
104	-55.09	-69.38	800	1600	2000	2000
