utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	80.0427	-92.9225	80	30	100	40
2	81.8795	-81.9439	80	30	100	40
3	80.9572	-61.6399	80	30	100	40
4	81.4461	-56.4449	80	30	100	40
5	82.1527	-49.2266	80	30	100	40
6	81.8866	-35.1904	80	30	100	40
7	71.2755	-122.8921	80	30	100	40
8	73.9443	-116.9034	80	30	100	40
9	71.3705	-109.0446	80	30	100	40
10	75.7172	-98.7205	80	30	100	40
11	70.6168	-80.2774	80	30	100	40
12	72.5174	-83.2378	80	30	100	40
13	71.2365	-77.5261	80	30	100	40
14	78.4744	-67.6032	80	30	100	40
15	73.5470	-52.9848	80	30	100	40
16	73.9821	-46.2038	80	30	100	40
17	79.2836	-36.6180	80	30	100	40
18	79.5543	-23.3305	80	30	100	40
19	74.3133	-23.1645	80	30	100	40
20	75.0116	-27.7894	80	30	100	40
21	77.0721	-19.1368	80	30	100	40
22	78.2452	17.5369	80	30	100	40
23	79.3513	18.1230	80	30	100	40
24	77.9513	14.9521	80	30	100	40
25	70.0999	26.0522	80	30	100	40
26	78.8734	21.2598	80	30	100	40
27	70.0340	25.0585	80	30	100	40
28	64.5267	-164.9830	80	30	100	40
29	65.4370	-160.0415	80	30	100	40
30	69.0280	-161.0379	80	30	100	40
31	60.5273	-162.5188	80	30	100	40
32	60.8524	-162.1154	80	30	100	40
33	67.8914	-162.8612	80	30	100	40
34	69.3895	-153.5584	80	30	100	40
35	69.8799	-156.6146	80	30	100	40
36	66.0742	-152.3020	80	30	100	40
37	62.9660	-158.1571	80	30	100	40
38	64.8656	-159.1634	80	30	100	40
39	69.4574	-146.0485	80	30	100	40
40	64.4557	-138.2901	80	30	100	40
41	67.8159	-130.0361	80	30	100	40
42	60.2448	-139.3952	80	30	100	40
43	60.7773	-134.4121	80	30	100	40
44	64.5177	-139.2543	80	30	100	40
45	61.0712	-129.7782	80	30	100	40
46	67.8183	-123.6159	80	30	100	40
47	64.4989	-126.1122	80	30	100	40
48	67.7533	-122.9366	80	30	100	40
49	68.2368	-120.5164	80	30	100	40
50	61.9536	-111.1571	80	30	100	40
51	69.9293	-115.7494	80	30	100	40
52	65.9649	-112.3361	80	30	100	40
53	68.8527	-118.4270	80	30	100	40
54	60.0915	-117.7392	80	30	100	40
55	68.9192	-109.9822	80	30	100	40
56	66.9641	-93.4903	80	30	100	40
57	63.2273	-99.5256	80	30	100	40
58	66.6919	-90.3168	80	30	100	40
59	61.7330	-99.7004	80	30	100	40
60	64.0674	-99.4189	80	30	100	40
61	65.7048	-87.7591	80	30	100	40
62	68.9988	-83.0113	80	30	100	40
63	66.4651	-84.7951	80	30	100	40
64	67.4386	-82.0453	80	30	100	40
65	64.8191	-83.7441	80	30	100	40
66	62.2782	-75.3107	80	30	100	40
67	60.4043	-74.4722	80	30	100	40
68	61.8803	-73.7721	80	30	100	40
69	64.4126	-73.4252	80	30	100	40
70	66.4518	-71.6026	80	30	100	40
71	66.4906	-66.5983	80	30	100	40
72	64.5674	-69.7310	80	30	100	40
73	63.1587	-66.7006	80	30	100	40
74	66.7985	-63.9514	80	30	100	40
75	66.1897	-65.5107	80	30	100	40
76	67.2608	-51.9131	80	30	100	40
77	66.0519	-50.3865	80	30	100	40
78	67.5246	-50.4249	80	30	100	40
79	65.5321	-50.5036	80	30	100	40
80	65.1943	-51.7558	80	30	100	40
81	65.0400	-47.8694	80	30	100	40
82	66.8548	-41.6547	80	30	100	40
83	69.4567	-47.0707	80	30	100	40
84	68.0632	-42.7244	80	30	100	40
85	69.3082	-42.2311	80	30	100	40
86	69.1556	-37.1927	80	30	100	40
87	69.0080	-31.2380	80	30	100	40
88	69.4595	-31.2318	80	30	100	40
89	68.8490	-36.0578	80	30	100	40
90	68.7276	-34.1852	80	30	100	40
91	69.7741	-29.8957	80	30	100	40
92	68.6577	-29.8580	80	30	100	40
93	66.3060	-22.8311	80	30	100	40
94	64.2514	-21.1996	80	30	100	40
95	64.6000	-20.9564	80	30	100	40
96	65.3623	-16.9817	80	30	100	40
97	65.5512	-17.5573	80	30	100	40
98	64.4112	-17.3794	80	30	100	40
99	65.7167	-16.9708	80	30	100	40
100	65.6818	-19.1695	80	30	100	40
101	62.2043	-6.4142	80	30	100	40
102	60.7117	-1.0918	80	30	100	40
103	60.2175	-2.0600	80	30	100	40
104	60.3412	-1.5491	80	30	100	40
105	62.1792	-7.5276	80	30	100	40
106	62.9026	7.9525	80	30	100	40
107	63.2493	7.6164	80	30	100	40
108	61.1228	9.5028	80	30	100	40
109	61.4347	8.9115	80	30	100	40
110	61.1814	9.5570	80	30	100	40
111	64.0197	14.0597	80	30	100	40
112	61.0400	12.3876	80	30	100	40
113	60.8352	13.5029	80	30	100	40
114	63.6501	12.4854	80	30	100	40
115	66.1993	16.3369	80	30	100	40
116	62.8114	11.9374	80	30	100	40
117	66.1050	13.8269	80	30	100	40
118	62.5930	13.9430	80	30	100	40
119	65.6892	14.5709	80	30	100	40
120	66.7322	14.1272	80	30	100	40
121	64.7094	18.3407	80	30	100	40
122	63.9485	13.8398	80	30	100	40
123	65.8174	14.8970	80	30	100	40
124	63.7897	17.8305	80	30	100	40
125	62.6399	14.2358	80	30	100	40
126	66.1797	16.7820	80	30	100	40
127	63.3823	17.3400	80	30	100	40
128	67.0689	18.8323	80	30	100	40
129	69.6993	28.1435	80	30	100	40
130	69.0091	24.7152	80	30	100	40
131	62.1864	21.8185	80	30	100	40
132	63.6626	23.2853	80	30	100	40
133	60.7952	21.9723	80	30	100	40
134	66.7145	24.2356	80	30	100	40
135	66.1627	25.9116	80	30	100	40
136	60.5097	25.6448	80	30	100	40
137	67.9843	22.4070	80	30	100	40
138	68.3017	26.4050	80	30	100	40
139	64.8635	24.5868	80	30	100	40
140	64.4620	28.0211	80	30	100	40
141	63.5816	25.7245	80	30	100	40
142	59.9467	-163.6427	80	30	100	40
143	55.9703	-160.0911	80	30	100	40
144	59.3000	-160.3560	80	30	100	40
145	55.5371	-161.9811	80	30	100	40
146	55.7484	-160.6242	80	30	100	40
147	57.8016	-157.2680	80	30	100	40
148	57.8633	-156.3540	80	30	100	40
149	59.9826	-153.9511	80	30	100	40
150	57.4203	-154.6326	80	30	100	40
151	57.1639	-153.7542	80	30	100	40
152	59.8200	-140.7491	80	30	100	40
153	59.5000	-146.2156	80	30	100	40
154	59.9787	-140.6291	80	30	100	40
155	59.9297	-140.7459	80	30	100	40
156	59.5070	-146.2906	80	30	100	40
157	57.3108	-135.7666	80	30	100	40
158	59.5278	-131.5177	80	30	100	40
159	56.1745	-130.1018	80	30	100	40
160	56.7559	-133.7995	80	30	100	40
161	55.2745	-130.5747	80	30	100	40
162	53.2770	-123.8407	80	30	100	40
163	50.0266	-122.3401	80	30	100	40
164	57.0320	-120.3534	80	30	100	40
165	59.1919	-123.3322	80	30	100	40
166	57.4648	-129.3697	80	30	100	40
167	59.9473	-117.9174	80	30	100	40
168	54.3529	-117.4272	80	30	100	40
169	52.3346	-111.8172	80	30	100	40
170	58.7267	-115.6693	80	30	100	40
171	55.0290	-118.5374	80	30	100	40
172	58.0242	-112.0186	80	30	100	40
173	57.0370	-117.7757	80	30	100	40
174	51.2204	-111.9721	80	30	100	40
175	53.7152	-112.5492	80	30	100	40
176	57.7363	-118.3876	80	30	100	40
177	55.3322	-119.7277	80	30	100	40
178	59.2684	-113.9170	80	30	100	40
179	59.4479	-116.8521	80	30	100	40
180	56.5623	-105.2653	80	30	100	40
181	55.0370	-101.2312	80	30	100	40
182	51.7388	-100.2114	80	30	100	40
183	58.6302	-105.4228	80	30	100	40
184	53.4262	-107.1259	80	30	100	40
185	55.8258	-92.4629	80	30	100	40
186	50.1853	-85.2823	80	30	100	40
187	55.1908	-85.1032	80	30	100	40
188	51.2770	-84.5241	80	30	100	40
189	51.5941	-80.8562	80	30	100	40
190	53.0224	-83.8944	80	30	100	40
191	51.4874	-76.7100	80	30	100	40
192	53.9933	-71.4522	80	30	100	40
193	50.7242	-70.1792	80	30	100	40
194	51.4080	-73.4012	80	30	100	40
