utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	43.7911	-123.7165	450	1800	2000	2000
2	48.3532	-57.1706	450	1800	2000	2000
3	40.6229	-6.6754	450	1800	2000	2000
4	36.0000	128.0000	450	1800	2000	2000
5	36.5760	140.4508	450	1800	2000	2000
6	28.7268	-105.6591	450	1800	2000	2000
7	22.1039	39.9834	450	1800	2000	2000
8	23.4277	58.6857	450	1800	2000	2000
9	19.6444	-155.2650	450	1800	2000	2000
10	16.6826	76.7187	450	1800	2000	2000
11	10.3842	123.7922	450	1800	2000	2000
12	7.4931	-73.8362	450	1800	2000	2000
13	0.8412	-55.7471	450	1800	2000	2000
14	6.9010	100.6397	450	1800	2000	2000
15	-4.0789	135.4399	450	1800	2000	2000
16	-28.2685	-48.8378	450	1800	2000	2000
17	-34.6927	-71.3267	450	1800	2000	2000
18	-33.9535	22.7786	450	1800	2000	2000
19	-33.3437	118.8723	450	1800	2000	2000
20	-40.1594	-66.0724	450	1800	2000	2000
21	-45.2499	168.4550	450	1800	2000	2000
