utIndex	utLat (deg)	utLon (deg)	Av DL (Mbps)	Av UL (Mbps)	Max DL (Mbps)	Max UL (Mbps)
1	81.6627	-82.1383	40	10	100	25
2	82.0384	-81.5985	40	10	100	25
3	82.3779	-64.3965	40	10	100	25
4	80.6997	-63.3089	40	10	100	25
5	80.0713	-41.4109	40	10	100	25
6	80.2934	-43.0116	40	10	100	25
7	74.2882	-121.6947	40	10	100	25
8	74.1087	-120.7880	40	10	100	25
9	75.9682	-118.4100	40	10	100	25
10	76.9334	-118.1083	40	10	100	25
11	78.6235	-100.9721	40	10	100	25
12	71.0018	-104.7512	40	10	100	25
13	76.5278	-92.0423	40	10	100	25
14	75.2588	-99.6052	40	10	100	25
15	78.5777	-70.6658	40	10	100	25
16	72.5616	-77.2775	40	10	100	25
17	78.4488	-57.8340	40	10	100	25
18	75.8778	-57.0193	40	10	100	25
19	73.1131	-33.5486	40	10	100	25
20	70.9807	-31.4806	40	10	100	25
21	78.0104	-28.4784	40	10	100	25
22	76.1979	-27.1549	40	10	100	25
23	79.3296	-19.9869	40	10	100	25
24	79.9456	-18.6430	40	10	100	25
25	78.1375	17.1051	40	10	100	25
26	78.6061	17.5691	40	10	100	25
27	79.3328	22.9903	40	10	100	25
28	70.8419	24.5440	40	10	100	25
29	60.6445	-163.4009	40	10	100	25
30	65.2354	-161.1268	40	10	100	25
31	69.2322	-163.0775	40	10	100	25
32	65.4004	-165.0346	40	10	100	25
33	62.6092	-161.3730	40	10	100	25
34	69.6719	-162.5314	40	10	100	25
35	61.7728	-164.6193	40	10	100	25
36	65.1334	-162.7722	40	10	100	25
37	60.1355	-154.3116	40	10	100	25
38	68.2328	-157.7123	40	10	100	25
39	62.8244	-158.7071	40	10	100	25
40	63.0047	-153.6063	40	10	100	25
41	60.9563	-152.7078	40	10	100	25
42	65.0361	-154.8988	40	10	100	25
43	65.7254	-133.4050	40	10	100	25
44	67.3221	-130.9541	40	10	100	25
45	64.9132	-117.9165	40	10	100	25
46	65.0888	-117.2333	40	10	100	25
